Reference,DOI,species_name,species_name2,species,sample_label,sample_id,max_diam_mu,total_ind_measured_in_the_sample,lat,long,sample_type,vessel,sampling_date,water_depth,trap_depth
Baranowski 2013 ,,Berggrenia pumilio,Berggrenia_pumilio,pumilio,North Atlantic,149,106.065,1,NA,NA,seafloor,NA,NA,NA,
Baranowski 2013 ,,Berggrenia pumilio,Berggrenia_pumilio,pumilio,North Atlantic,150,92.237,1,NA,NA,seafloor,NA,NA,NA,
Baranowski 2013 ,,Berggrenia pumilio,Berggrenia_pumilio,pumilio,North Atlantic,153,110.99,1,NA,NA,seafloor,NA,NA,NA,
Baranowski 2013 ,,Berggrenia pumilio,Berggrenia_pumilio,pumilio,North Atlantic,154,84.673,1,NA,NA,seafloor,NA,NA,NA,
Baranowski 2013 ,,Berggrenia pumilio,Berggrenia_pumilio,pumilio,North Atlantic,155,97.219,1,NA,NA,seafloor,NA,NA,NA,
Baranowski 2013 ,,Berggrenia pumilio,Berggrenia_pumilio,pumilio,North Atlantic,156,85.579,1,NA,NA,seafloor,NA,NA,NA,
Baranowski 2013 ,,Berggrenia pumilio,Berggrenia_pumilio,pumilio,North Atlantic,162,80.913,1,NA,NA,seafloor,NA,NA,NA,
Baranowski 2013 ,,Berggrenia pumilio,Berggrenia_pumilio,pumilio,North Atlantic,167,88.037,1,NA,NA,seafloor,NA,NA,NA,
Baranowski 2013 ,,Berggrenia pumilio,Berggrenia_pumilio,pumilio,North Atlantic,168,82.999,1,NA,NA,seafloor,NA,NA,NA,
Baranowski 2013 ,,Candeina nitida,Candeina_nitida,nitida,Caribbean,107,394.916,1,NA,NA,seafloor,,NA,-2900,
Baranowski 2013 ,,Candeina nitida,Candeina_nitida,nitida,Caribbean,108,441.305,1,NA,NA,seafloor,,NA,-2900,
Baranowski 2013 ,,Dentigloborotalia anfracta ,Dentigloborotalia_anfracta,anfracta,EAST-10 deep Arabian Sea,1,158.489,1,15.433333,68.716667,sed_trap ,,11/04/94,-3824,-2787
Baranowski 2013 ,,Dentigloborotalia anfracta ,Dentigloborotalia_anfracta,anfracta,EAST-10 deep Arabian Sea,3,173.899,1,15.433333,68.716667,sed_trap ,,11/04/94,-3824,-2787
Baranowski 2013 ,,Globigerina bulloides,Globigerina_bulloides,bulloides,North Atlantic,55,422.572,1,NA,NA,seafloor,NA,NA,NA,
Baranowski 2013 ,,Globigerina bulloides,Globigerina_bulloides,bulloides,North Atlantic,56,413.117,1,NA,NA,seafloor,NA,NA,NA,
Baranowski 2013 ,,Globigerina bulloides,Globigerina_bulloides,bulloides,North Atlantic,57,453.472,1,NA,NA,seafloor,NA,NA,NA,
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-02,b1,380.49,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b1,361.07,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-04,b1,446.37,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b1,264.58,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b1,242.27,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b1,312.05,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b1,211.13,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-08,b1,257.17,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-09,b1,253.85,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-10,b1,375.93,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-11,b1,361.67,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-13,b1,255.25,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-14,b1,201.21,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-15,b1,332.67,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-16,b1,403.76,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-17,b1,220.8,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-18,b1,205.12,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b10,192.03,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-04,b10,323.54,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b10,205.03,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b10,335.2,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b10,217.09,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-08,b10,213.97,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b11,355.33,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-04,b11,336.48,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b11,320.78,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b11,252.92,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b11,235.57,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-08,b11,213.97,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b12,294.75,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-04,b12,296.7,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
