abbr,Haruka_symbiosis_cluster,binary
G_con,1,2
O_uni,1,2
G_sac,1,2
C_nit,2,2
G_cal,2,2
G_sip,2,2
G_glu,2,2
G_uvu,2,2
G_rubp,2,2
G_ten,2,2
G_rubw,2,2
G_men,2,2
G_rus,2,2
N_dut,2,2
S_deh,2,2
G_inf,3,2
P_obl,3,2
T_hum,3,2
G_bul,4,1
G_ada,4,1
G_cra,4,1
G_sci,4,1
G_tru,4,1
H_pel,4,1
H_dig,4,1
N_inc,4,1
N_pac,4,1
T_fle,4,1
T_qui,4,1
B_dig,NA,NA
B_pum,NA,NA
D_anf,NA,NA
G_fal,NA,NA
G_min,NA,NA
G_coa,NA,NA
G_cav,NA,NA
G_hir,NA,NA
G_the,NA,NA
G_tum,NA,NA
G_ung,NA,NA
G_hex,NA,NA
T_iot,NA,NA
T_par,NA,NA
T_cla,NA,NA
