"year","open","close","period","next_open","cum_days","N_pac","G_bul","T_qui","G_glu","O_uni","G_sci"
1990,1990-08-23,1990-09-11,19,1,19,64,6.4,0,0,0,0
1990,1990-09-12,1990-10-01,19,1,39,642.56,185.6673684,16.57263158,0,0,0
1990,1990-10-02,1990-11-26,55,1,95,1778.514286,481.272381,165.6609524,225.0438095,0,37.50857143
1990,1990-11-27,1991-01-21,55,1,151,288,55.54285714,26.74285714,34.97142857,2.3,6.171428571
1991,1991-01-22,1991-03-18,55,21,207,2.285714286,0,0,0,0,0
1991,1991-04-08,1991-04-27,19,1,247,0,25.6,0,0,0,0
1991,1991-04-28,1991-05-17,19,1,267,368.1982301,770.2088496,122.7327434,89.26017699,0,0
1991,1991-05-18,1991-06-06,19,1,287,58.66666667,11.73333333,0,0,0,0
1991,1991-06-07,1991-06-26,19,42,307,6.4,6.4,0,0,0,0
1991,1991-08-07,1991-08-22,15,1,364,48,0,0,0,0,0
1991,1991-08-23,1991-09-11,19,1,384,25.6,0,0,0,0,0
1991,1991-09-12,1991-10-01,19,1,404,0,0,0,0,0,0
1991,1991-10-02,1991-11-26,55,1,460,1194.55028,1030.531375,189.5657143,264.7438184,0,6.323097463
1991,1991-11-27,1992-01-21,55,1,516,265.2059528,104.1501025,31.53479492,146.1835595,3.361344538,2.707102953
1992,1992-01-22,1992-03-18,56,1,573,15.96881092,2.744639376,5.489278752,2.744639376,0,0
1992,1992-03-19,1992-04-07,19,1,593,0,0,6.4,0,0,0
1992,1992-04-08,1992-04-27,19,61,613,522.508642,52.85925926,30.97283951,45.11604938,0,7.743209877
1992,1992-06-27,1992-07-16,19,1,693,781.462069,27.75172414,14.23448276,14.23448276,0,7.117241379
1992,1992-07-17,1992-07-30,13,8,707,117.3333333,10.66666667,0,0,0,0
1992,1992-08-07,1992-08-22,15,1,730,0,0,0,0,0,0
1992,1992-08-23,1992-09-11,19,1,750,0,6.4,0,0,0,0
1992,1992-09-12,1992-10-01,19,1,770,48.8,24,0,4,0,0
1992,1992-10-02,1992-10-21,19,1,790,1358.819417,163.3553398,0,0,0,7.425242718
1992,1992-10-22,1992-11-26,35,1,826,69.07936508,89.9047619,8.126984127,0,0,0
1992,1992-11-27,1993-01-21,55,1,882,46.41269841,30.15873016,5.46031746,43.68253968,0,0
1993,1993-01-22,1993-03-18,55,1,938,272.9312169,34.11640212,0,41.98941799,0,5.248677249
1993,1993-03-19,1993-04-07,19,1,958,192,0,0,0,0,0
1993,1993-04-08,1993-04-27,19,1,978,126.5777778,6.4,7.822222222,0,0,0
1993,1993-04-28,1993-05-17,19,1,998,112.2133333,28.58666667,0,0,0,0
1993,1993-05-18,1993-06-06,19,57,1018,369.9532468,113.787013,13.46493506,33.66233766,0,6.732467532
1993,1993-08-02,1993-08-22,20,1,1095,759.6029528,491.0658186,56.97868982,44.31675875,31.65482768,0
1993,1993-08-23,1993-09-11,19,1,1115,2302.175179,735.166359,33.12246154,39.936,0,0
1993,1993-09-12,1993-10-01,19,1,1135,1400.235439,1023.938819,37.38613861,28.03960396,0,0
1993,1993-10-02,1993-10-21,19,1,1155,3868.773187,2161.212762,1291.034483,165.5172414,6.8,0
1993,1993-10-22,1993-11-26,35,57,1191,1376.373333,1828.213333,902.56,74.18666667,0,0
1994,1994-01-22,1994-03-18,55,1,1303,76.24797844,22.51212938,0,24.66846361,0,0
1994,1994-03-19,1994-04-07,19,1,1323,1464.212808,29.38325123,7.345812808,79.85812808,0,0
1994,1994-04-08,1994-04-27,19,1,1343,1905.714543,1360.193644,78.99428571,667.5318138,0,13.16571429
1994,1994-04-28,1994-05-17,19,1,1363,3723.849143,490.5051429,339.36,373.8377143,0,45.248
1994,1994-05-18,1994-06-06,19,59,1383,495.6952381,366.7809524,0,84.72380952,0,0
1994,1994-08-04,1994-08-22,18,1,1460,0,13.47368421,6.736842105,0,0,0
1994,1994-08-23,1994-09-11,19,1,1480,582.4,211.2,6.4,12.8,0,0
1994,1994-09-12,1994-10-01,19,1,1500,19.2,6.4,0,0,0,0
1994,1994-10-02,1994-10-21,19,1,1520,70.4,51.2,0,0,0,0
1994,1994-10-22,1994-11-21,30,1,1551,1968.599479,1291.720297,40.62352234,150.4403927,4.129032258,0
1994,1994-11-22,1995-01-21,60,1,1612,193.0491803,35.67213115,6.295081967,2.098360656,0,0
1995,1995-01-22,1995-03-18,55,1,1668,2.285714286,0,0,0,0,0
1995,1995-03-19,1995-04-07,19,1,1688,0,0,0,0,0,0
1995,1995-04-08,1995-04-27,19,1,1708,0,0,0,0,0,0
1995,1995-04-28,1995-05-12,14,1,1723,0,0,0,0,0,0
1995,1995-05-13,1995-05-27,14,1,1738,128,42.66666667,0,0,0,0
1995,1995-05-28,1995-06-16,19,1,1758,1888,601.6,204.8,25.6,0,0
1995,1995-06-17,1995-07-24,37,14,1796,865.6842105,242.5263158,3.368421053,13.47368421,0,0
1995,1995-08-07,1995-08-22,15,1,1825,560,240,40,88,0,8
1995,1995-08-23,1995-09-11,19,1,1845,486.4,217.6,70.4,64,0,0
1995,1995-09-12,1995-10-01,19,1,1865,1798.4,454.4,102.4,12.8,0,0
1995,1995-10-02,1995-10-21,19,1,1885,2572.8,819.2,537.6,19.2,0,6.4
1995,1995-10-22,1995-11-26,35,1,1921,4104.638607,2482.381551,467.1452991,88.14062248,3.555555556,0
1995,1995-11-27,1996-01-21,55,1,1977,381.7142857,281.1428571,0,38.85714286,0,2.285714286
1996,1996-01-22,1996-03-18,56,1,2034,35.92982456,6.736842105,0,0,0,0
1996,1996-03-19,1996-04-07,19,1,2054,1612.8,51.2,44.8,320,0,0
1996,1996-04-08,1996-04-27,19,1,2074,1625.6,288,38.4,192,0,0
1996,1996-04-28,1996-05-17,19,1,2094,1913.6,928,204.8,275.2,0,0
1996,1996-05-18,1996-06-06,19,1,2114,128,51.2,0,25.6,0,0
1996,1996-06-07,1996-06-26,19,1,2134,1036.8,249.6,70.4,134.4,0,0
1996,1996-06-27,1996-07-24,27,15,2162,992,205.7142857,173.7142857,196.5714286,0,9.142857143
1996,1996-08-08,1996-08-22,14,1,2191,750.9333333,409.6,341.3333333,17.06666667,0,8.533333333
1996,1996-08-23,1996-09-11,19,1,2211,576,236.8,217.6,32,0,0
1996,1996-09-12,1996-10-01,19,1,2231,640,115.2,230.4,25.6,0,6.4
1996,1996-10-02,1996-10-21,19,1,2251,934.4,716.8,409.6,70.4,0,0
1996,1996-10-22,1996-11-26,35,1,2287,847.9442509,622.5195509,347.8745645,915.475029,0,3.555555556
1996,1996-11-27,1997-01-21,55,1,2343,128,137.1428571,77.71428571,534.8571429,0,0
1997,1997-01-22,1997-03-18,55,1,2399,57.14285714,4.571428571,2.285714286,20.57142857,0,0
1997,1997-03-19,1997-04-07,19,1,2419,89.6,6.4,19.2,38.4,0,0
1997,1997-04-08,1997-04-27,19,1,2439,172.8,51.2,32,76.8,0,0
1997,1997-04-28,1997-05-17,19,1,2459,384,166.4,172.8,268.8,0,0
1997,1997-05-18,1997-06-06,19,1,2479,153.6,281.6,179.2,166.4,0,0
1997,1997-06-07,1997-06-26,19,1,2499,800,166.4,153.6,89.6,0,0
1997,1997-06-27,1997-07-31,34,8,2534,709.4857143,157.2571429,43.88571429,135.3142857,0,0
1997,1997-08-08,1997-08-22,14,1,2556,102.4,187.7333333,17.06666667,25.6,0,8.533333333
1997,1997-08-23,1997-09-11,19,1,2576,614.4,1510.4,83.2,64,0,0
1997,1997-09-12,1997-10-01,19,1,2596,1292.8,1203.2,243.2,57.6,0,0
1997,1997-10-02,1997-10-21,19,1,2616,2412.8,1804.8,844.8,38.4,6.4,12.8
1997,1997-10-22,1997-11-26,35,1,2652,2778.239637,1228.925989,621.9496498,354.9740678,0,0
1997,1997-11-27,1998-01-21,55,1,2708,809.1428571,182.8571429,64,281.1428571,0,0
1998,1998-01-22,1998-03-18,55,1,2764,32,6.857142857,0,38.85714286,0,0
1998,1998-03-19,1998-04-07,19,1,2784,294.4,12.8,12.8,204.8,0,0
1998,1998-04-08,1998-04-27,19,1,2804,2553.6,115.2,51.2,640,0,0
1998,1998-04-28,1998-05-17,19,1,2824,1267.2,192,57.6,1273.6,0,0
1998,1998-05-18,1998-06-06,19,1,2844,1337.6,460.8,268.8,1004.8,0,0
1998,1998-06-07,1998-06-26,19,1,2864,646.4,198.4,89.6,313.6,0,0
1998,1998-06-27,1998-07-31,34,8,2899,3441.053416,245.7234875,127.4464228,395.7546814,0,0
1998,1998-08-08,1998-08-22,14,1,2921,85.33333333,8.533333333,85.33333333,179.2,0,0
1998,1998-08-23,1998-09-11,19,1,2941,416,198.4,217.6,51.2,0,0
1998,1998-09-12,1998-10-01,19,1,2961,1779.2,384,256,0,0,19.2
1998,1998-10-02,1998-10-21,19,1,2981,1068.8,332.8,147.2,0,0,0
1998,1998-10-22,1998-11-26,35,1,3017,2851.201475,414.16075,421.3112033,305.2368219,0,0
