"year","open","close","period","next_open","cum_days","O_uni","G_rubp","G_rubw","G_bul","T_qui","N_dut","G_cra","G_men","G_glu"
1997,1997-01-10,1997-01-23,13,1,13,20.57,20.57,13.71,230.86,128,13.71,6.86,4.57,6.86
1997,1997-01-24,1997-02-06,13,1,27,16,13.71,22.86,466.29,112,9.14,4.57,2.29,29.71
1997,1997-02-07,1997-02-20,13,1,41,16,6.86,13.71,137.14,29.71,13.71,13.71,4.57,9.14
1997,1997-02-21,1997-03-06,13,1,55,34.29,6.86,16,953.17,276.57,32,100.57,9.14,36.57
1997,1997-03-07,1997-03-20,13,1,69,22.86,9.14,16,923.43,187.43,25.14,66.29,4.57,38.86
1997,1997-03-21,1997-04-03,13,45,83,22.86,4.57,2.29,733.71,100.57,13.71,22.86,11.43,9.14
1997,1997-05-18,1997-05-28,10,1,138,196.57,45.71,54.86,672,18.29,68.57,1357.71,242.29,525.71
1997,1997-05-29,1997-06-11,13,1,152,189.71,160,349.71,2006.86,235.43,406.86,1659.43,73.14,5412.57
1997,1997-06-12,1997-06-25,13,1,166,226.29,41.14,114.29,459.43,41.14,80,992,29.71,1140.57
1997,1997-06-26,1997-07-09,13,1,180,43.43,20.57,32,50.29,16,11.43,132.57,45.71,61.71
1997,1997-07-10,1997-07-23,13,1,194,54.86,22.86,68.57,173.71,50.29,22.86,265.14,41.14,155.43
1997,1997-07-24,1997-08-06,13,1,208,96,32,80,132.57,50.29,16,596.57,41.14,210.29
1997,1997-08-07,1997-08-20,13,1,222,121.14,34.29,48,203.43,0,59.43,784,45.71,189.71
1997,1997-08-21,1997-09-03,13,1,236,89.14,9.14,34.29,208,16,57.14,333.71,27.43,96
1997,1997-09-04,1997-09-17,13,1,250,93.71,27.43,59.43,534.86,73.14,66.29,320,20.57,128
1997,1997-09-18,1997-10-01,13,1,264,150.86,73.14,77.71,1195.43,20.57,98.29,409.14,96,114.29
1997,1997-10-02,1997-10-15,13,1,278,146.29,89.14,48,768,61.71,61.71,329.14,123.43,96
1997,1997-10-16,1997-10-27,11,1,290,80,41.14,29.71,377.14,34.29,38.86,132.57,54.86,20.57
1997,1997-10-28,1997-11-08,11,8,302,157.09,78.55,49.45,497.45,11.64,46.55,235.64,104.73,78.55
1997,1997-11-16,1997-11-26,10,1,320,41.14,32,68.57,32,73.14,54.86,13.71,59.43,27.43
1997,1997-11-27,1997-12-10,13,1,334,176,73.14,59.43,82.29,662.86,112,276.57,61.71,45.71
1997,1997-12-11,1997-12-24,13,1,348,178.29,52.57,11.43,182.86,267.43,66.29,242.29,100.57,29.71
1997,1997-12-25,1998-01-07,13,1,362,75.43,50.29,13.71,358.86,182.86,114.29,249.14,34.29,48
1998,1998-01-08,1998-01-21,13,1,376,77.71,82.29,16,98.29,43.43,32,93.71,68.57,27.43
1998,1998-01-22,1998-02-04,13,1,390,11.43,2.29,4.57,43.43,4.57,4.57,82.29,18.29,13.71
1998,1998-02-05,1998-02-18,13,1,404,4.57,6.86,6.86,121.14,50.29,2.29,27.43,4.57,25.14
1998,1998-02-19,1998-03-04,13,1,418,68.57,27.43,22.86,354.29,105.14,25.14,86.86,43.43,59.43
1998,1998-03-05,1998-03-18,13,1,432,91.43,109.71,48,884.57,420.57,98.29,368,141.71,187.43
1998,1998-03-19,1998-04-01,13,1,446,349.71,258.29,132.57,2541.71,996.57,246.86,1152,315.43,429.71
1998,1998-04-02,1998-04-15,13,1,460,198.86,176,102.86,3693.71,484.57,130.29,896,180.57,251.43
1998,1998-04-16,1998-04-27,11,1,472,123.43,112,48,2041.14,84.57,137.14,388.57,141.71,139.43
1998,1998-04-28,1998-05-09,11,28,484,96,43.64,66.91,2542.55,500.36,136.73,389.82,84.36,136.73
1998,1998-06-06,1998-06-12,6,1,518,73.14,91.43,155.43,0,0,50.29,566.86,265.14,50.29
1998,1998-06-13,1998-06-19,6,1,525,137.14,45.71,68.57,137.14,114.29,50.29,480,786.29,182.86
1998,1998-06-20,1998-06-26,6,1,532,50.29,45.71,9.14,100.57,45.71,251.43,566.86,192,100.57
1998,1998-06-27,1998-07-07,10,1,543,100.57,54.86,54.86,77.71,45.71,91.43,374.86,64,77.71
1998,1998-07-08,1998-07-21,13,1,557,50.29,9.14,18.29,80,22.86,22.86,134.86,66.29,27.43
1998,1998-07-22,1998-08-04,13,1,571,54.86,22.86,34.29,251.43,48,66.29,27.43,9.14,20.57
1998,1998-08-05,1998-08-18,13,1,585,41.14,32,25.14,290.29,16,34.29,68.57,82.29,43.43
1998,1998-08-19,1998-09-01,13,1,599,32,29.71,75.43,240,13.71,105.14,141.71,114.29,182.86
1998,1998-09-02,1998-09-15,13,1,613,45.71,86.86,59.43,157.71,9.14,70.86,201.14,198.86,226.29
1998,1998-09-16,1998-09-29,13,1,627,25.14,98.29,132.57,169.14,18.29,52.57,166.86,219.43,240
1998,1998-09-30,1998-10-13,13,1,641,68.57,196.57,162.29,155.43,11.43,105.14,185.14,530.29,400
1998,1998-10-14,1998-10-26,12,1,654,27.43,114.29,61.71,139.43,22.86,18.29,128,141.71,262.86
1998,1998-10-27,1998-11-08,12,6,667,16,66.67,101.33,136,18.67,56,106.67,200,250.67
1998,1998-11-14,1998-11-27,13,1,686,68.57,134.86,125.71,9.14,80,29.71,59.43,130.29,160
1998,1998-11-28,1998-12-11,13,1,700,57.14,50.29,57.14,2.29,0,96,18.29,406.86,86.86
1998,1998-12-12,1998-12-25,13,1,714,54.86,43.43,29.71,18.29,36.57,36.57,27.43,228.57,185.14
1998,1998-12-26,1999-01-08,13,1,728,4.57,48,41.14,4.57,9.14,16,16,48,36.57
1999,1999-01-09,1999-01-22,13,1,742,4.57,34.29,18.29,18.29,34.29,9.14,2.29,4.57,16
1999,1999-01-23,1999-02-05,13,1,756,41.14,54.86,18.29,361.14,118.86,128,16,6.86,36.57
1999,1999-02-06,1999-02-19,13,1,770,57.14,50.29,16,603.43,11.43,77.71,20.57,2.29,25.14
1999,1999-02-20,1999-03-05,13,1,784,4.57,2.29,0,333.71,18.29,9.14,6.86,2.29,0
1999,1999-03-06,1999-03-19,13,1,798,29.71,16,2.29,235.43,16,45.71,16,9.14,11.43
1999,1999-03-20,1999-04-02,13,1,812,22.86,38.86,11.43,530.29,123.43,16,16,6.86,11.43
1999,1999-04-03,1999-04-16,13,1,826,91.43,160,38.57,626.29,50.29,93.71,52.57,43.43,93.71
1999,1999-04-17,1999-04-27,10,1,837,178.29,251.43,66.29,1924.57,521.14,128,137.14,36.57,274.29
1999,1999-04-28,1999-05-08,10,5,848,88.89,181.33,67.56,1144.89,337.78,138.67,138.67,67.56,241.78
1999,1999-05-13,1999-05-26,13,1,866,173.71,157.71,214.86,361.14,50.29,157.71,580.57,64,976
1999,1999-05-27,1999-06-09,13,1,880,189.71,123.43,166.86,157.71,22.86,121.14,338.29,75.43,59.43
1999,1999-06-10,1999-06-23,13,1,894,68.57,61.71,45.71,48,4.57,73.14,73.14,18.29,84.57
1999,1999-06-24,1999-07-07,13,1,908,160,54.86,50.29,283.43,164.57,41.14,70.86,16,91.43
1999,1999-07-08,1999-07-21,13,1,922,125.71,38.86,52.57,310.86,100.57,38.86,102.86,22.86,171.43
1999,1999-07-22,1999-08-04,13,1,936,150.86,52.57,66.29,372.57,139.43,52.57,75.43,27.43,235.43
1999,1999-08-05,1999-08-18,13,1,950,114.29,34.29,32,249.14,57.14,18.29,52.57,80,240
1999,1999-08-19,1999-09-01,13,1,964,66.29,27.43,50.29,219.43,75.43,29.71,54.86,59.43,240
1999,1999-09-02,1999-09-15,13,1,978,66.29,22.86,57.14,256,82.29,38.86,84.57,100.57,288
1999,1999-09-16,1999-09-29,13,1,992,43.43,34.29,66.29,214.86,36.57,18.29,96,45.71,297.14
1999,1999-09-30,1999-10-13,13,1,1006,107.43,54.86,100.57,228.57,48,36.57,116.57,89.14,354.29
1999,1999-10-14,1999-10-26,12,1,1019,66.29,70.86,125.71,265.14,18.29,43.43,84.57,64,427.43
1999,1999-10-27,1999-11-08,12,2,1032,128,104,98.67,240,16,42.67,96,197.33,357.33
1999,1999-11-10,1999-11-23,13,1,1047,11.43,105.14,132.57,0,0,27.43,11.43,41.14,38.86
1999,1999-11-24,1999-12-07,13,1,1061,6.86,86.86,116.57,0,0,16,4.57,201.14,61.71
1999,1999-12-08,1999-12-21,13,1,1075,2.29,13.71,32,0,9.14,29.71,2.29,59.43,43.43
1999,1999-12-22,2000-01-04,13,NA,1089,0,66.29,66.29,0,8.86,22.86,4.57,41.14,22.86
