"year","open","close","period","next_open","cum_days","G_bul","G_sip","G_rubw","G_rubp","G_sac","N_inc"
1989,1989-03-15,1989-03-31,16,1,16,112.6,0,51.5,0,3.2,141.6
1989,1989-04-01,1989-04-17,16,1,33,180.2,0,45,0,6.4,119.1
1989,1989-04-18,1989-05-04,16,1,50,296,0,41.8,3.2,0,144.8
1989,1989-05-05,1989-05-21,16,1,67,524.5,6.4,70.8,0,6.4,218.8
1989,1989-05-22,1989-06-07,16,1,84,70.8,0,16.1,0,0,64.4
1989,1989-06-08,1989-06-24,16,1,101,74,0,54.7,3.2,0,125.5
1989,1989-06-25,1989-07-11,16,1,118,51.5,0,74,0,3.2,96.5
1989,1989-07-12,1989-07-28,16,1,135,12.9,0,12.9,0,0,12.9
1989,1989-07-29,1989-08-14,16,1,152,22.5,0,29,19.3,3.2,41.8
1989,1989-08-15,1989-08-31,16,1,169,45,0,125.5,225.2,19.3,0
1989,1989-09-01,1989-09-17,16,1,186,0,0,144.8,672.5,57.9,0
1989,1989-09-18,1989-10-04,16,1,203,22.5,154.4,350.7,691.8,447.3,29
1989,1989-10-05,1989-10-21,16,1,220,32.2,61.1,399,218.8,588.8,0
1989,1989-10-22,1989-11-07,16,1,237,19.3,0,244.5,218.8,164.1,0
1989,1989-11-08,1989-11-24,16,1,254,19.3,0,170.5,67.6,80.4,0
1989,1989-11-25,1989-12-11,16,1,271,0,6.4,86.9,48.3,9.7,0
1989,1989-12-12,1989-12-28,16,1,288,0,3.2,22.5,9.7,0,0
1989,1989-12-29,1990-01-14,16,1,305,25.7,3.2,48.3,22.5,41.8,32.2
1990,1990-01-15,1990-01-31,16,1,322,61.1,3.2,48.3,16.1,25.7,370
1990,1990-02-01,1990-02-17,16,1,339,225.2,0,41.8,0,22.5,302.5
1990,1990-02-18,1990-03-06,16,1,356,164.1,0,41.8,0,0,180.2
1990,1990-03-07,1990-03-23,16,37,373,29,0,9.7,3.2,0,99.7
1990,1990-04-29,1990-05-20,21,1,431,494.1,53.6,113.1,0,53.6,1696.7
1990,1990-05-21,1990-06-10,20,1,452,107.2,0,53.6,11.9,47.6,136.9
1990,1990-06-11,1990-07-02,21,1,474,11.9,11.9,77.4,0,23.8,29.8
1990,1990-07-03,1990-07-23,20,1,495,131,59.5,166.7,29.8,83.3,434.6
1990,1990-07-24,1990-08-14,21,1,517,83.3,6,59.5,0,6,250
1990,1990-08-15,1990-09-04,20,1,538,29.8,0,113.1,41.7,47.6,6
1990,1990-09-05,1990-09-26,21,1,560,6,0,136.9,65.5,53.6,17.9
1990,1990-09-27,1990-10-17,20,1,581,0,0,65.5,53.6,11.9,0
1990,1990-10-18,1990-11-08,21,1,603,6,0,59.5,29.8,11.9,0
1990,1990-11-09,1990-11-29,20,1,624,0,0,178.6,113.1,65.5,0
1990,1990-11-30,1990-12-21,21,1,646,0,0,166.7,95.3,23.8,0
1990,1990-12-22,1991-01-11,20,1,667,6,35.7,142.9,41.7,53.6,214.3
1991,1991-01-12,1991-02-02,21,1,689,6,6,47.6,11.9,6,53.6
1991,1991-02-03,1991-02-23,20,1,710,17.9,0,29.8,17.9,17.9,6
1991,1991-02-24,1991-03-17,21,1,732,6,0,17.9,11.9,6,17.9
1991,1991-03-18,1991-04-07,20,NA,753,6,0,11.9,0,6,59.5
