"year","open","close","period","next_open","cum_days","G_bul","G_cal","G_glu","G_uvu","G_rubw","G_inf","G_sci","G_hex","N_dut","N_inc","N_pac","O_uni","T_qui"
1994,1994-01-25,1994-02-01,7,1,7,581.25,18.75,6.25,0,6.25,0,6.25,18.75,12.5,1212.5,81.25,6.25,0
1994,1994-02-02,1994-02-09,7,1,15,256.25,43.75,6.25,0,18.75,0,18.75,6.25,100,1606.25,87.5,6.25,0
1994,1994-02-10,1994-02-17,7,1,23,612.5,56.25,62.5,0,6.25,0,31.25,18.75,100,2625,150,18.75,0
1994,1994-02-18,1994-02-25,7,1,31,687.5,162.5,137.5,6.25,12.5,0,43.75,18.75,212.5,3031.25,168.75,6.25,0
1994,1994-02-26,1994-03-05,7,1,39,131.25,187.5,143.75,0,0,0,31.25,18.75,150,2625,168.75,18.75,0
1994,1994-03-06,1994-03-13,7,1,47,150,187.5,93.75,0,0,6.25,31.25,6.25,62.5,2393.75,206.25,0,0
1994,1994-03-14,1994-03-21,7,1,55,262.5,106.25,87.5,0,6.25,0,37.5,25,31.25,1662.5,106.25,6.25,0
1994,1994-03-22,1994-03-29,7,1,63,168.75,75,12.5,0,6.25,0,0,31.25,37.5,675,125,0,6.25
1994,1994-03-30,1994-04-06,7,1,71,87.5,68.75,12.5,0,0,0,6.25,6.25,18.75,243.75,18.75,25,0
1994,1994-04-07,1994-04-14,7,1,79,306.25,56.25,68.75,0,31.25,0,50,62.5,18.75,1943.75,137.5,0,0
1994,1994-04-15,1994-04-22,7,1,87,50,6.25,6.25,0,0,0,6.25,0,6.25,218.75,18.75,0,0
1994,1994-04-23,1994-04-30,7,1,95,50,6.25,12.5,0,6.25,6.25,12.5,18.75,6.25,518.75,56.25,0,0
1994,1994-05-01,1994-05-08,7,1,103,87.5,43.75,12.5,0,37.5,0,0,25,112.5,2006.25,50,43.75,0
1994,1994-05-09,1994-05-16,7,1,111,118.75,106.25,31.25,0,0,0,6.25,12.5,18.75,1587.5,50,6.25,0
1994,1994-05-17,1994-05-24,7,1,119,100,43.75,62.5,0,12.5,0,12.5,43.75,0,1331.25,68.75,0,0
1994,1994-05-25,1994-06-01,7,1,127,181.25,18.75,56.25,0,6.25,0,6.25,6.25,12.5,1831.25,81.25,0,0
1994,1994-06-02,1994-06-09,7,1,135,137.5,93.75,62.5,0,0,0,12.5,18.75,12.5,1768.75,50,0,0
1994,1994-06-10,1994-06-17,7,1,143,150,50,87.5,0,6.25,12.5,0,6.25,6.25,1400,62.5,0,0
1994,1994-06-18,1994-06-25,7,1,151,62.5,12.5,0,0,12.5,6.25,0,12.5,6.25,806.25,75,0,0
1994,1994-06-26,1994-07-03,7,84,159,87.5,50,62.5,0,18.75,12.5,0,25,25,1668.75,56.25,6.25,0
1994,1994-09-25,1994-09-30,5,1,248,141.6666667,91.66666667,75,0,0,16.66666667,0,0,0,641.6666667,58.33333333,8.333333333,0
1994,1994-10-01,1994-10-06,5,1,254,291.6666667,175,125,16.66666667,0,0,8.333333333,0,0,1041.666667,166.6666667,0,0
1994,1994-10-07,1994-10-12,5,1,260,16.66666667,8.333333333,0,25,0,0,0,0,0,50,41.66666667,0,0
1994,1994-10-13,1994-10-18,5,1,266,0,0,0,0,0,0,0,0,0,25,0,0,0
1994,1994-10-19,1994-10-24,5,1,272,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,1994-10-25,1994-10-30,5,1,278,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,1994-10-31,1994-11-05,5,1,284,0,0,0,0,0,0,0,0,16.66666667,8.333333333,0,0,0
1994,1994-11-06,1994-11-11,5,1,290,533.3333333,300,41.66666667,0,8.333333333,0,0,16.66666667,25,1391.666667,158.3333333,25,0
1994,1994-11-12,1994-11-17,5,1,296,433.3333333,408.3333333,108.3333333,0,0,8.333333333,33.33333333,25,358.3333333,1900,516.6666667,8.333333333,33.33333333
1994,1994-11-18,1994-11-23,5,1,302,183.3333333,283.3333333,66.66666667,8.333333333,0,0,50,0,258.3333333,2191.666667,225,50,0
1994,1994-11-24,1994-11-29,5,1,308,250,216.6666667,58.33333333,0,8.333333333,0,50,16.66666667,375,1400,200,8.333333333,0
1994,1994-11-30,1994-12-05,5,54,314,16.66666667,0,8.333333333,0,0,0,8.333333333,0,0,125,16.66666667,0,0
1995,1995-01-28,1995-02-02,5,1,373,525,325,75,0,16.66666667,0,33.33333333,8.333333333,250,1008.333333,275,100,0
1995,1995-02-03,1995-02-08,5,1,379,1475,816.6666667,116.6666667,0,75,8.333333333,83.33333333,8.333333333,625,4283.333333,516.6666667,91.66666667,0
1995,1995-02-09,1995-02-14,5,1,385,1758.333333,1208.333333,200,0,100,8.333333333,83.33333333,83.33333333,250,4866.666667,416.6666667,325,16.66666667
1995,1995-02-15,1995-02-20,5,1,391,591.6666667,225,50,0,0,0,41.66666667,16.66666667,58.33333333,1183.333333,308.3333333,158.3333333,8.333333333
1995,1995-02-21,1995-02-26,5,1,397,716.6666667,416.6666667,91.66666667,0,91.66666667,8.333333333,83.33333333,16.66666667,108.3333333,2783.333333,491.6666667,58.33333333,8.333333333
1995,1995-02-27,1995-03-04,5,1,403,458.3333333,141.6666667,16.66666667,0,8.333333333,0,50,8.333333333,8.333333333,666.6666667,150,16.66666667,0
1995,1995-03-05,1995-03-10,5,1,409,475,341.6666667,8.333333333,0,33.33333333,0,66.66666667,50,333.3333333,2150,125,41.66666667,0
1995,1995-03-11,1995-03-16,5,1,415,541.6666667,141.6666667,8.333333333,0,8.333333333,0,8.333333333,33.33333333,16.66666667,1233.333333,50,16.66666667,0
1995,1995-03-17,1995-03-22,5,1,421,450,125,41.66666667,0,0,16.66666667,58.33333333,16.66666667,33.33333333,1391.666667,241.6666667,16.66666667,0
1995,1995-03-23,1995-03-28,5,1,427,466.6666667,275,50,0,0,0,41.66666667,58.33333333,125,2008.333333,350,33.33333333,0
1995,1995-03-29,1995-04-03,5,1,433,308.3333333,125,25,0,0,0,25,0,33.33333333,1141.666667,150,25,0
1995,1995-04-04,1995-04-09,5,1,439,208.3333333,58.33333333,33.33333333,0,0,0,16.66666667,8.333333333,0,500,116.6666667,8.333333333,0
1995,1995-04-10,1995-04-15,5,1,445,325,208.3333333,91.66666667,0,16.66666667,0,33.33333333,16.66666667,41.66666667,2750,133.3333333,50,8.333333333
1995,1995-04-16,1995-04-21,5,1,451,350,133.3333333,50,0,0,16.66666667,33.33333333,100,41.66666667,1025,125,116.6666667,0
1995,1995-04-22,1995-04-27,5,1,457,141.6666667,83.33333333,25,0,0,0,33.33333333,16.66666667,8.333333333,308.3333333,158.3333333,8.333333333,0
1995,1995-04-28,1995-05-03,5,1,463,108.3333333,8.333333333,8.333333333,0,0,0,16.66666667,0,8.333333333,258.3333333,33.33333333,0,0
1995,1995-05-04,1995-05-09,5,1,469,191.6666667,91.66666667,8.333333333,0,0,0,58.33333333,41.66666667,66.66666667,550,75,0,0
