"year","open","close","period","next_open","cum_days","G_sac","G_rubw","G_ten","G_rus","G_men","G_tum","G_the","T_par","G_ung","G_bul","G_cal","T_qui","N_dut","G_sip","G_glu","G_hex","P_obl","G_con"
1986,1986-05-11,1986-05-23,12,1,12,59,375,413,197,0,0,0,39,10,1112,20,0,0,0,69,0,0,0
1986,1986-05-24,1986-06-05,12,1,25,50,128,30,20,0,0,0,0,0,50,0,0,10,20,30,0,0,0
1986,1986-06-06,1986-06-18,12,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,1986-06-19,1986-07-01,12,1,51,0,207,138,0,0,0,0,0,0,50,30,0,20,0,40,0,30,0
1986,1986-07-02,1986-07-14,12,1,64,39,817,286,39,0,0,0,0,0,149,0,0,59,20,10,0,49,0
1986,1986-07-15,1986-07-27,12,1,77,10,522,69,118,20,0,0,0,0,276,0,0,109,0,69,0,30,0
1986,1986-07-28,1986-08-09,12,14,90,109,483,148,89,0,0,10,30,0,3187,20,0,79,0,374,0,59,0
1986,1986-08-23,1986-09-04,12,1,116,365,709,571,138,10,0,10,10,10,4804,10,0,20,0,139,0,0,20
1986,1986-09-05,1986-09-17,12,1,129,226,512,719,128,0,0,10,187,10,1969,0,0,10,10,237,10,0,10
1986,1986-09-18,1986-09-30,12,1,142,49,128,414,118,0,0,0,148,0,1211,0,0,10,0,78,10,0,0
1986,1986-10-01,1986-10-13,12,1,155,69,217,179,89,0,0,0,89,0,699,0,0,0,0,20,0,0,0
1986,1986-10-14,1986-10-26,12,23,168,30,227,325,89,0,0,0,89,0,512,0,0,0,0,20,10,0,0
1986,1986-11-18,1986-11-30,12,1,203,0,50,40,40,0,0,0,0,0,10,0,0,0,20,0,0,0,0
1986,1986-12-01,1986-12-13,12,1,216,20,50,90,20,0,0,0,10,0,1149,0,10,220,50,101,0,430,0
1986,1986-12-14,1986-12-25,11,1,228,20,10,10,0,0,0,0,0,0,618,0,0,30,60,162,0,20,0
1986,1986-12-26,1987-01-07,12,1,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1987-01-08,1987-01-20,12,1,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1987-01-21,1987-02-01,11,1,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1987-02-02,1987-02-14,12,1,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1987-02-15,1987-02-26,11,1,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1987-02-27,1987-03-10,11,1,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1987-03-11,1987-03-23,12,1,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1987-03-24,1987-04-04,11,1,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1987-04-05,1987-04-16,11,1,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1987-04-17,1987-04-29,12,13,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1987-05-12,1987-05-23,11,1,377,0,40,50,10,0,0,0,0,0,140,0,10,0,10,30,0,0,0
1987,1987-05-24,1987-06-05,12,1,390,20,220,70,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
1987,1987-06-06,1987-06-17,11,1,402,10,90,50,0,0,0,0,10,0,30,0,10,10,0,0,0,0,0
1987,1987-06-18,1987-06-30,12,1,415,211,693,101,20,10,0,0,10,10,80,0,0,20,10,0,10,0,0
1987,1987-07-01,1987-07-12,11,1,427,0,231,201,40,0,0,0,0,10,211,0,10,20,20,0,0,0,0
1987,1987-07-13,1987-07-25,12,1,440,10,251,191,332,10,20,10,0,0,1096,10,50,30,10,10,0,30,0
1987,1987-07-26,1987-08-06,11,1,452,0,191,171,231,0,10,0,0,20,1891,20,0,50,10,30,10,60,0
1987,1987-08-07,1987-08-19,12,1,465,10,432,70,402,20,0,0,0,0,1801,10,0,30,0,91,30,0,0
1987,1987-08-20,1987-08-31,11,1,477,0,372,262,704,0,0,0,40,20,1730,0,0,20,10,50,20,20,0
1987,1987-09-01,1987-09-13,12,1,490,0,261,271,573,0,0,0,0,0,3501,10,20,90,0,80,10,0,0
1987,1987-09-14,1987-09-25,11,1,502,0,170,111,783,0,0,0,0,0,1267,10,80,10,0,110,0,0,0
1987,1987-09-26,1987-10-08,12,1,515,0,201,131,433,0,0,0,0,0,854,0,282,0,0,20,0,0,0
1987,1987-10-09,1987-10-20,11,NA,527,0,80,50,201,0,0,0,0,0,60,0,30,0,0,0,0,0,0
