year,open,close,period,next_open,cum_days,G_bul,G_fal,G_rus,G_cal,G_sip,B_dig,G_ada,H_dig,G_rubw,G_sac,G_con,O_uni,S_deh,G_hex,N_dut,N_pac,N_inc,G_coa,P_obl,G_glu,G_uvu,G_men,G_ung,G_tum,G_hir,G_the,G_sci
2000,11/11/00,28/11/00,17,1,17,60,7,37,11,20,0,5,0,372,18,0,0,0,2,57,0,37,0,25,68,0,50,0,0,2,7,9
2000,29/11/00,16/12/00,17,1,35,7,4,9,11,32,0,0,0,185,4,0,0,0,4,30,0,12,0,14,43,0,9,0,0,0,5,5
2000,17/12/00,03/01/01,17,1,53,7,4,14,2,5,4,2,0,85,2,0,2,0,2,14,0,5,0,2,25,0,18,0,0,0,21,5
2001,04/01/01,21/01/01,17,1,71,0,4,9,12,25,0,2,0,116,5,0,4,0,4,2,0,4,2,0,9,0,23,2,0,0,7,4
2001,22/01/01,08/02/01,17,1,89,2,5,9,9,4,2,0,0,55,2,0,0,0,4,4,0,5,0,0,9,0,16,4,0,0,2,0
2001,09/02/01,26/02/01,17,1,107,16,0,21,9,16,0,0,0,194,12,0,2,0,0,23,0,20,0,2,14,0,32,0,0,0,7,2
2001,27/02/01,16/03/01,17,1,125,23,2,20,7,53,0,0,0,356,12,2,7,0,4,36,4,21,9,18,16,0,50,0,2,0,2,2
2001,17/03/01,03/04/01,17,1,143,16,5,25,11,32,0,4,0,267,7,0,0,0,2,20,2,20,5,14,14,0,55,0,2,0,4,4
2001,04/04/01,21/04/01,17,1,161,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2,0,4,0,0,7,0,0,0,0,0
2001,22/04/01,09/05/01,17,1,179,0,0,0,2,2,0,0,0,18,2,0,0,0,0,2,0,2,0,9,2,0,4,0,0,0,0,0
2001,10/05/01,27/05/01,17,1,197,20,0,9,12,46,0,2,0,100,4,0,7,0,0,108,2,48,4,28,25,0,44,0,0,0,7,4
2001,28/05/01,14/06/01,17,1,215,20,5,12,12,28,0,0,0,133,12,0,2,0,2,128,4,57,7,32,43,0,41,0,2,0,9,5
2001,15/06/01,02/07/01,17,1,233,12,2,14,11,20,0,2,0,80,9,0,2,0,2,20,0,20,2,12,30,2,41,5,2,0,4,9
2001,03/07/01,20/07/01,17,1,251,14,4,16,4,28,0,2,0,142,20,0,5,2,2,53,0,34,9,27,43,0,117,0,50,2,5,12
2001,21/07/01,07/08/01,17,1,269,2,0,14,9,37,0,2,0,183,30,0,0,0,0,32,2,20,7,30,30,0,41,5,0,0,7,2
2001,08/08/01,25/08/01,17,1,287,16,0,20,11,9,0,2,0,236,43,0,2,0,0,62,0,32,14,41,48,0,172,5,50,0,11,9
2001,26/08/01,12/09/01,17,1,305,27,7,64,20,75,2,11,0,281,34,0,0,0,0,123,0,84,18,50,101,4,124,2,25,4,12,18
2001,13/09/01,30/09/01,17,1,323,389,20,92,44,52,4,9,0,308,16,0,4,2,12,213,14,274,7,117,124,0,59,20,5,2,20,16
2001,01/10/01,18/10/01,17,1,341,96,7,80,9,39,0,4,0,165,14,0,2,0,4,48,5,75,7,7,84,0,116,7,20,0,9,5
2001,19/10/01,05/11/01,17,1,359,32,14,37,12,52,2,0,2,194,14,0,2,0,4,84,2,57,4,39,37,2,20,0,5,0,0,4
2001,06/11/01,23/11/01,17,21,377,25,4,25,12,20,0,4,0,98,4,0,0,0,0,27,9,41,4,7,46,0,68,0,5,0,9,9
