"year","open","close","period","next_open","cum_days","G_bul","N_inc","G_glu","G_inf","G_sci","T_qui"
1989,1989-04-03,1989-04-07,4,1,4,126,50,75,50,0,0
1989,1989-04-08,1989-04-21,13,1,18,323,233,197,99,0,0
1989,1989-04-22,1989-05-05,13,1,32,188,242,251,135,9,0
1989,1989-05-06,1989-05-19,13,1,46,1541,1478,358,322,99,108
1989,1989-05-20,1989-06-05,16,1,63,2243,1395,369,103,340,502
1989,1989-06-06,1989-06-19,13,1,77,1263,403,125,45,134,197
1989,1989-06-20,1989-07-03,13,1,91,744,412,27,0,90,152
1989,1989-07-04,1989-07-17,13,1,105,224,161,0,9,45,18
1989,1989-07-18,1989-07-31,13,1,119,99,170,0,0,27,45
1989,1989-08-01,1989-08-14,13,1,133,179,251,0,36,152,0
1989,1989-08-15,1989-08-28,13,1,147,81,134,18,0,27,0
1989,1989-08-29,1989-09-11,13,1,161,63,762,9,18,18,0
1989,1989-09-12,1989-09-25,13,21,175,224,466,9,72,81,0
1989,1989-10-16,1989-10-29,13,1,209,199,11,10,16,3,0
1989,1989-10-30,1989-11-12,13,1,223,39,26,4,26,4,10
1989,1989-11-13,1989-11-26,13,1,237,114,61,7,39,1,0
1989,1989-11-27,1989-12-10,13,1,251,72,24,3,72,1,0
1989,1989-12-11,1989-12-24,13,1,265,33,20,9,29,0,0
1989,1989-12-25,1990-01-07,13,1,279,19,0,13,28,4,0
1990,1990-01-08,1990-01-21,13,1,293,10,1,6,16,6,0
1990,1990-01-22,1990-02-04,13,1,307,4,1,41,28,17,0
1990,1990-02-05,1990-02-18,13,1,321,3,0,24,7,6,0
1990,1990-02-19,1990-03-04,13,1,335,9,1,36,7,51,0
1990,1990-03-05,1990-03-18,13,1,349,15,0,17,17,54,0
1990,1990-03-19,1990-04-01,13,1,363,210,206,76,76,80,9
1990,1990-04-02,1990-04-15,13,NA,377,769,1386,399,505,115,7
