"year","open","close","period","next_open","cum_days","G_bul","G_sip","N_inc","G_inf","G_sac","G_tru","O_uni","N_pac","G_rubw","G_rubp","G_glu","T_qui","B_dig"
1993,1993-10-16,1993-10-31,15,16,15,5,0,0,0,0,10,0,0,0,0,0,0,0
1993,1993-11-16,1993-11-30,14,1,45,254.8,0,5.3,0,0,228.2,21.2,0,5.3,0,0,0,0
1993,1993-12-01,1993-12-15,14,1,60,118.1,1.3,0,1.3,2.7,167.2,4,0,1.3,0,0,0,0
1993,1993-12-16,1993-12-31,15,1,76,358.3,5,0,29.9,0,238.9,14.9,0,0,0,5,0,0
1994,1994-01-01,1994-01-15,14,1,91,553.1,2.1,13.8,66.9,2.1,157.1,2.1,0,1.1,0,0,0,0
1994,1994-01-16,1994-01-31,15,1,107,552.3,0,5,79.6,0,49.8,0,0,5,0,0,0,0
1994,1994-02-01,1994-02-15,14,14,122,748.4,0,53.1,37.2,0,74.3,0,0,0,0,0,0,0
1994,1994-03-01,1994-03-15,14,1,150,3179.4,0,419.3,281.3,0,350.3,0,21.2,0,0,15.9,0,0
1994,1994-03-16,1994-03-31,15,1,166,1756.6,5,194.1,124.4,0,204,5,0,5,0,0,0,4.97611465
1994,1994-04-01,1994-04-15,14,54,181,164.5,0,21.2,21.2,5.3,0,0,0,0,0,0,0,0
1994,1994-06-08,1994-06-15,7,9,242,0,0,0,0,0,0,10,0,0,0,0,0,0
1994,1994-06-24,1994-06-30,6,1,257,0,0,0,0,4.5,0,0,0,0,0,0,0,0
1994,1994-07-01,1994-07-15,14,1,272,4.8,0,1.6,0,1.6,0,0,0,0,0,0,0,0
1994,1994-07-16,1994-07-31,15,1,288,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0
1994,1994-08-01,1994-08-15,14,1,303,21.2,0,15.9,5.3,5.3,0,5.3,0,5.3,0,0,0,0
1994,1994-08-16,1994-08-31,15,1,319,13.4,0,4.5,0,7.5,1.5,11.9,0,0,0,0,1.5,0
1994,1994-09-01,1994-09-15,14,1,334,4.2,2.1,7.4,0,15.9,5.3,13.8,0,0,0,0,1.1,0
1994,1994-09-16,1994-09-30,14,1,349,30.3,0,15.9,0,15.9,11.1,12.7,0,0,0,0,1.6,0
1994,1994-10-01,1994-10-15,14,1,364,31.8,3.2,6.4,0,44.6,28.7,46.2,0,1.6,0,0,0,0
1994,1994-10-16,1994-10-31,15,18,380,22.4,0,11.9,0,32.8,10.4,20.9,0,0,0,0,0,0
1994,1994-11-18,1994-11-30,12,1,410,88.2,0,11,0,3.7,33.1,0,0,0,0,0,3.7,0
1994,1994-12-01,1994-12-15,14,1,425,9.6,3.2,6.4,6.4,12.7,73.2,3.2,0,0,0,0,9.6,0
1994,1994-12-16,1994-12-31,15,1,441,53.7,0,0,17.9,17.9,373.2,3,0,0,0,0,0,0
1995,1995-01-01,1995-01-15,14,1,456,23.9,2.7,2.7,23.9,2.7,299.9,5.3,0,0,0,0,0,0
1995,1995-01-16,1995-01-31,15,1,472,200,6,6,0,17.9,134.4,3,0,0,0,0,0,0
1995,1995-02-01,1995-02-15,14,1,487,407.6,3.2,35,9.6,6.4,105.1,0,0,0,0,0,3.2,0
1995,1995-02-16,1995-02-28,12,1,500,368.7,0,8.6,52.7,1.2,47.8,0,0,0,0,0,4.9,0
1995,1995-03-01,1995-03-15,14,1,515,208.1,1.1,5.3,62.6,0,24.4,1.1,0,0,0,0,3.2,0
1995,1995-03-16,1995-03-31,15,1,531,345.8,2.5,64.7,139.3,0,19.9,2.5,0,0,0,0,2.5,0
1995,1995-04-01,1995-04-15,14,1,546,1255.3,8,199,254.8,0,207,5.3,0,0,0,0,0,2.653927813
1995,1995-04-16,1995-04-30,14,1,561,270.7,8,31.8,34.5,0,31.8,0,0,0,0,0,0,0
1995,1995-05-01,1995-05-15,14,17,576,426.8,3.2,108.3,73.2,0,66.9,3.2,0,0,0,0,3.2,0
1995,1995-06-01,1995-06-15,14,1,607,21.2,0,0,4.2,0,0,0,0,0,0,0,0,0
1995,1995-06-16,1995-06-30,14,1,622,8.5,0,8.5,0,0,0,0,0,0,0,0,0,0
1995,1995-07-01,1995-07-15,14,1,637,0,0,8.5,0,0,0,0,0,0,0,0,4.2,0
1995,1995-07-16,1995-07-31,15,1,653,23.9,8,4,0,0,0,0,0,0,0,0,0,0
1995,1995-08-01,1995-08-15,14,1,668,12.7,0,97.7,0,29.7,0,0,0,0,0,0,21.2,0
1995,1995-08-16,1995-08-31,15,1,684,8,0,27.9,0,4,35.8,4,0,0,0,4,0,0
