"year","open","close","period","next_open","cum_days","G_bul","G_sip","N_inc","G_inf","G_tru","O_uni","G_rubw","G_sac","G_glu","T_qui","N_pac","G_rubp","B_dig"
1993,1993-11-01,1993-11-15,14,16,14,5.3,0,0,0,10.6,0,0,0,0,0,0,0,0
1993,1993-12-01,1993-12-15,14,1,44,17,0,0,0,0,0,0,0,0,0,0,0,0
1993,1993-12-16,1993-12-31,15,1,60,79.6,0,0,0,64.7,0,0,0,0,0,0,0,0
1994,1994-01-01,1994-01-15,14,17,75,51,0,4.2,0,84.9,17,4.246284501,0,0,0,0,0,0
1994,1994-02-01,1994-02-15,14,14,106,31.8,0,0,0,21.2,0,0,0,0,0,0,0,0
1994,1994-03-01,1994-03-15,14,1,134,451.2,0,302.5,169.9,207,10.6,0,0,0,0,0,0,0
1994,1994-03-16,1994-03-31,15,1,150,393.1,10,209,104.5,497.6,0,0,0,0,0,0,0,0
1994,1994-04-01,1994-04-15,14,16,165,286.6,2.7,183.1,95.5,318.5,2.7,0,0,0,0,0,0,2.653927813
1994,1994-05-01,1994-05-15,14,187,195,448,21.2,19.1,2.1,21.2,36.1,2.123142251,0,2.123142251,10.61571125,0,0,0
1994,1994-11-18,1994-12-15,27,1,409,486.2,2.8,139.3,119.4,91,8.5,0,0,0,2.843494086,0,0,0
1994,1994-12-16,1995-01-15,30,1,440,855.2,7.7,249.1,174.6,102.7,5.1,2.568317239,0,0,5.136634477,0,0,2.568317239
1995,1995-01-16,1995-02-15,30,1,471,292.8,1.5,90.9,53.9,41.6,0,0,3.081980686,0,0,0,0,0
1995,1995-02-16,1995-03-15,27,1,499,22.7,2.3,0,2.3,88.7,4.5,0,0,0,0,0,0,0
1995,1995-03-16,1995-04-15,30,1,530,3.1,1,9.2,1,43.1,1,0,3.081980686,0,1.027326895,0,0,0
1995,1995-04-16,1995-05-15,29,17,560,8,0,0,0,15.9,2.7,0,0,0,0,0,0,0
1995,1995-06-01,1995-06-30,29,1,606,14.6,0,9.3,0,9.3,4,0,0,0,0,0,0,0
1995,1995-07-01,1995-07-31,30,1,637,3.9,1.3,7.7,1.3,1.3,0,0,0,0,1.284158619,0,0,0
1995,1995-08-01,1995-08-31,30,1,668,1.5,0,18.5,0,15.4,4.6,3.081980686,0,0,0,0,0,0
1995,1995-09-01,1995-09-30,29,1,698,1.1,0,3.2,0,3.2,0,0,0,0,0,0,0,0
1995,1995-10-01,1995-10-31,30,1,729,1,0,0,0,8.2,0,0,1.027326895,0,0,0,0,0
1995,1995-11-01,1995-11-30,29,16,759,1.8,0,4.4,0,1.8,1.8,0,0.88455414,0,0.88455414,0,0,0
1995,1995-12-16,1996-01-15,30,1,805,14.4,0,0,4.1,12.3,0,0,0,0,0,0,0,0
1996,1996-01-16,1996-02-15,30,1,836,14.4,0,0,4.1,16.4,0,0,0,0,0,0,0,0
1996,1996-02-16,1996-03-15,28,1,865,92.2,0,68.1,81.3,81.3,0,0,0,6.589062157,0,0,0,0
1996,1996-03-16,1996-04-15,30,1,896,263,2.1,145.9,330.8,152,4.1,0,0,0,0,0,0,0
1996,1996-04-16,1996-05-15,29,1,926,229.3,6.4,78.6,129.5,116.8,2.1,2.123142251,0,0,0,0,0,0
1996,1996-05-16,1996-06-15,30,231,957,184.9,0,150,98.6,47.3,8.2,2.054653791,2.054653791,0,0,0,0,0
1997,1997-02-01,1997-02-27,26,33,1214,100.1,0,9.1,43.2,54.6,4.5,0,0,0,0,0,0,4.549590537
1997,1997-04-01,1997-04-29,28,2,1275,70.1,6.4,8.5,14.9,25.5,2.1,0,0,0,0,0,0,0
1997,1997-05-01,1997-05-30,29,47,1306,50.3,3.1,5.1,7.2,32.9,7.2,0,0,1.027326895,0,0,0,1.027326895
1997,1997-07-16,1997-08-28,43,19,1396,18.6,4.4,4.4,3.5,34.5,3.5,2.653927813,0,0,0,0,0,0
1997,1997-09-16,1997-10-15,29,1,1444,3.2,0,0,0,18,9.6,3.184713376,4.246284501,0,0,0,0,1.061571125
1997,1997-10-16,1997-11-15,30,1,1475,1.5,0,0,1.5,5.4,1.5,0,1.540990343,0,0,0,0,0
1997,1997-11-16,1997-12-15,29,1,1505,0,2.1,2.1,0,38.2,4.2,6.369426752,0,0,0,0,0,0
1997,1997-12-16,1998-01-15,30,1,1536,16.4,0,0,2.1,88.4,0,2.054653791,4.109307582,0,0,0,0,0
1998,1998-01-16,1998-02-15,30,1,1567,53.4,2.1,6.2,12.3,115.1,4.1,2.054653791,0,0,0,2.054653791,0,2.054653791
1998,1998-02-16,1998-03-15,27,17,1595,131.9,11.4,29.6,54.6,100.1,4.5,0,0,0,0,0,0,0
1998,1998-04-01,1998-04-30,29,1,1641,84.9,4.2,31.8,8.5,74.3,2.1,0,0,0,0,0,0,2.123142251
1998,1998-05-01,1998-05-31,30,1,1672,96.6,0,6.2,0,8.2,0,0,0,0,0,0,0,0
1998,1998-06-01,1998-06-30,29,108,1702,70.1,4.2,8.5,2.1,10.6,4.2,4.246284501,2.123142251,0,0,0,0,0
1998,1998-10-16,1998-11-15,30,1,1840,2.1,0,0,0,4.1,0,0,0,0,0,0,0,0
1998,1998-11-16,1998-12-15,29,1,1870,2.1,0,0,2.1,17,6.4,0,2.123142251,0,0,0,0,0
1998,1998-12-16,1999-01-15,30,1,1901,43.1,6.2,0,0,49.3,6.2,0,0,0,0,0,0,0
1999,1999-01-16,1999-02-15,30,1,1932,8.2,4.1,0,0,65.7,2.1,2.054653791,0,0,0,0,0,0
1999,1999-02-16,1999-03-15,27,1,1960,136.5,4.5,47.8,15.9,122.8,2.3,2.274795268,4.549590537,0,0,0,0,2.274795268
1999,1999-03-16,1999-04-15,30,16,1991,320.5,4.1,156.2,65.7,117.1,4.1,0,0,2.054653791,0,2.054653791,0,0
1999,1999-05-01,1999-05-31,30,1,2037,22.6,2.1,2.1,0,61.6,0,0,0,0,0,0,0,0
1999,1999-06-01,1999-06-30,29,1,2067,59.4,6.4,2.1,0,8.5,2.1,0,0,0,0,0,0,0
1999,1999-07-01,1999-07-31,30,1,2098,11,1.4,2.1,0.7,0.7,1.4,0,0,0,0.684713376,0,0,0
1999,1999-08-01,1999-08-31,30,1,2129,13.9,0.5,1,1,2.1,0.5,0,0,0,0,0,0,0.513663448
1999,1999-09-01,1999-09-30,29,1,2159,12.7,1.2,2.8,0,3.2,0.4,0,1.194267516,0,0,0,0,0
1999,1999-10-01,1999-10-31,30,16,2190,24.7,0,4.1,2.1,8.2,0,0,4.109307582,0,0,0,0,0
1999,1999-11-16,1999-12-15,29,1,2235,0,0,0,0,19.1,0,0,2.123142251,0,0,0,0,0
1999,1999-12-16,2000-01-15,30,1,2266,0,0,0,0,55.5,0,0,2.054653791,0,0,0,0,0
2000,2000-01-16,2000-02-15,30,1,2297,8.2,0,0,0,20.5,0,0,0,0,0,0,0,0
2000,2000-02-16,2000-03-15,28,1,2326,459,4.4,19.8,2.2,35.1,0,0,0,0,0,0,0,0
2000,2000-03-16,2000-04-15,30,1,2357,230.1,2.1,34.9,2.1,24.7,0,0,0,0,0,0,0,0
