"year","open","close","period","next_open","cum_days","G_rubw","G_sac","N_dut","G_sci"
2003,2003-11-23,2003-12-13,20,1,20,8,1.043478261,0.347826087,5.391304348
2003,2003-12-14,2004-01-03,20,1,41,14.7826087,2.608695652,1.043478261,1.043478261
2004,2004-01-04,2004-01-24,20,1,62,10.43478261,2.434782609,2.260869565,2.608695652
2004,2004-01-25,2004-02-14,20,1,83,17.73913043,1.913043478,0.52173913,1.391304348
2004,2004-02-15,2004-03-06,20,1,104,50.43478261,8.695652174,2.956521739,0.347826087
2004,2004-03-07,2004-03-27,20,1,125,119.4782609,7.304347826,10.95652174,0.347826087
2004,2004-03-28,2004-04-17,20,1,146,23.65217391,4.347826087,3.130434783,1.391304348
2004,2004-04-18,2004-05-08,20,1,167,41.56521739,10.95652174,1.217391304,2.434782609
2004,2004-05-09,2004-05-29,20,1,188,49.04347826,21.91304348,5.217391304,1.391304348
2004,2004-05-30,2004-06-19,20,1,209,23.82608696,22.43478261,12.17391304,2.086956522
2004,2004-06-20,2004-07-10,20,1,230,8.173913043,13.04347826,3.826086957,0.173913043
2004,2004-07-11,2004-07-31,20,1,251,17.2173913,28.52173913,12.69565217,2.434782609
2004,2004-08-01,2004-08-21,20,1,272,2.260869565,8.695652174,3.652173913,2.782608696
2004,2004-08-22,2004-09-11,20,1,293,10.7826087,6.260869565,2.782608696,4
2004,2004-09-12,2004-10-02,20,1,314,14.08695652,17.91304348,7.47826087,2.956521739
2004,2004-10-03,2004-10-23,20,1,335,34.60869565,18.43478261,8.869565217,1.043478261
2004,2004-10-24,2004-11-13,20,1,356,13.04347826,6.608695652,3.826086957,3.130434783
2004,2004-11-14,2004-12-04,20,1,377,12.34782609,9.043478261,5.913043478,3.304347826
2004,2004-12-05,2004-12-25,20,1,398,7.652173913,1.391304348,1.913043478,1.565217391
2004,2004-12-26,2005-01-15,20,1,419,61.04347826,6.434782609,8,2.086956522
2005,2005-01-16,2005-02-05,20,1,440,79.30434783,6.608695652,6.608695652,4.52173913
2005,2005-02-06,2005-02-26,20,1,461,40.69565217,8.347826087,5.565217391,1.739130435
2005,2005-02-27,2005-03-21,22,11,484,77.2173913,18.20289855,14.95652174,4.637681159
2005,2005-04-01,2005-04-23,22,1,517,101.2173913,6.260869565,25.73913043,3.47826087
2005,2005-04-24,2005-05-16,22,1,540,73.04347826,10.43478261,13.2173913,3.130434783
2005,2005-05-17,2005-06-08,22,1,563,67.47826087,19.47826087,12.86956522,13.2173913
2005,2005-06-09,2005-07-01,22,1,586,66.43478261,32,17.39130435,8.347826087
2005,2005-07-02,2005-07-24,22,1,609,15.30434783,31.65217391,9.217391304,2.260869565
2005,2005-07-25,2005-08-16,22,1,632,25.2173913,24.34782609,20,0.869565217
2005,2005-08-17,2005-09-07,21,1,654,10.95652174,4,6.782608696,0.347826087
2005,2005-09-08,2005-10-01,23,1,678,25.04347826,5.913043478,6.608695652,2.956521739
2005,2005-10-02,2005-10-24,22,1,701,7.652173913,21.04347826,13.2173913,11.13043478
2005,2005-10-25,2005-11-16,22,1,724,6.260869565,4.52173913,4.52173913,4.347826087
2005,2005-11-17,2005-12-09,22,1,747,23.13043478,24.86956522,9.391304348,2.434782609
2005,2005-12-10,2006-01-01,22,1,770,13.56521739,24.34782609,10.7826087,1.739130435
2006,2006-01-02,2006-01-24,22,1,793,43.82608696,25.56521739,15.30434783,7.47826087
2006,2006-01-25,2006-02-16,22,1,816,28,12.52173913,5.565217391,2.782608696
2006,2006-02-17,2006-03-11,22,1,839,30.7826087,5.913043478,7.652173913,2.956521739
2006,2006-03-12,2006-04-03,22,NA,862,20.52173913,3.652173913,5.913043478,1.391304348
