"year","open","close","period","next_open","cum_days","N_pac","N_inc","T_qui","G_bul","G_glu","G_uvu"
1991,1991-08-06,1991-08-19,13,1,13,229.95,154.7,159.25,13.65,4.55,22.75
1991,1991-08-20,1991-09-02,13,15,27,836.28,418.14,472.68,27.27,72.72,172.71
1991,1991-09-17,1991-09-30,13,1,55,872.64,390.87,345.42,9.09,136.35,136.35
1991,1991-10-01,1991-10-14,13,1,69,1818,818.1,999.9,145.44,218.16,363.6
1991,1991-10-15,1991-11-13,29,1,99,696.18,348.09,339.6,59.43,144.33,195.27
1991,1991-11-14,1991-12-13,29,1,129,628.26,348.09,424.5,8.49,212.25,220.74
1991,1991-12-14,1992-01-12,29,31,159,42.93,28.62,36.04,0,14.84,6.36
1992,1992-02-12,1992-03-12,29,1,219,127.26,9.09,45.45,9.09,0,0
1992,1992-03-13,1992-03-26,13,1,233,38.59,4.54,6.81,2.27,2.27,0
1992,1992-03-27,1992-04-09,13,15,247,31.78,13.62,11.35,0,4.54,4.54
1992,1992-04-24,1992-05-07,13,1,275,63.7,27.3,63.7,0,18.2,0
1992,1992-05-08,1992-05-21,13,1,289,52.44,11.4,19.38,0,1.14,1.14
1992,1992-05-22,1992-06-04,13,1,303,45.5,0,27.3,0,9.1,0
1992,1992-06-05,1992-06-18,13,8,317,74.1,28.5,51.3,0,7.98,4.56
1992,1992-06-26,1992-07-02,6,1,331,154.7,18.2,63.7,0,0,0
1992,1992-07-03,1992-07-06,3,9,335,1335.6,429.3,1160.7,0,159,127.2
1992,1992-07-15,1992-07-29,14,1,358,714,66.3,663,5.1,40.8,30.6
1992,1992-07-30,1992-08-13,14,1,373,1601.4,153,1683,0,102,122.4
1992,1992-08-14,1992-08-28,14,16,388,290.7,33.15,285.6,0,20.4,58.65
1992,1992-09-13,1992-09-27,14,31,418,642.6,102,515.1,0,30.6,66.3
1992,1992-10-28,1992-11-29,32,1,481,187.45,40.25,117.3,1.15,18.4,44.85
1992,1992-11-30,1993-01-08,39,1,521,22.92,3.82,85.95,0,0,0
1993,1993-01-09,1993-02-17,39,42,561,152.95,33.25,94.05,0,15.2,34.2
1993,1993-03-31,1993-04-19,19,1,622,3.82,0,7.64,0,1.91,1.91
1993,1993-04-20,1993-05-09,19,1,642,3.82,0,3.82,0,0,0
1993,1993-05-10,1993-05-29,19,1,662,15.28,3.82,32.47,0,0,0
1993,1993-05-30,1993-06-18,19,1,682,32.47,0,21.01,1.91,0,3.82
1993,1993-06-19,1993-07-08,19,1,702,273.13,30.56,139.43,1.91,3.82,13.37
1993,1993-07-09,1993-07-28,19,1,722,198.64,53.48,118.42,5.73,5.73,13.37
1993,1993-07-29,1993-08-17,19,16,742,382,68.76,162.35,7.64,19.1,55.39
1993,1993-09-02,1993-09-16,14,1,772,17.85,2.55,15.3,0,0,0
1993,1993-09-17,1993-10-01,14,NA,787,40.8,0,51,0,0,0
