"year","open","close","period","next_open","cum_days","G_bul","T_qui","N_pac","N_inc","G_glu","G_uvu","G_sci"
1990,1990-08-12,1990-08-28,16,1,16,69,455,910,9,0,28,0
1990,1990-08-29,1990-09-14,16,1,33,142,1490,2023,32,5,129,0
1990,1990-09-15,1990-10-02,17,1,51,3807,791,4588,9,0,106,0
1990,1990-10-03,1990-10-19,16,1,68,4418,869,5228,23,18,60,0
1990,1990-10-20,1990-11-06,17,1,86,4285,1113,6037,110,9,0,0
1990,1990-11-07,1990-11-23,16,1,103,3586,699,5439,78,18,0,0
1990,1990-11-24,1990-12-10,16,1,120,1977,55,1150,28,14,5,0
1990,1990-12-11,1990-12-28,17,1,138,947,5,543,10,5,0,0
1990,1990-12-29,1991-01-14,16,1,155,685,9,506,5,5,0,0
1991,1991-01-15,1991-02-01,17,1,173,267,0,244,5,14,0,0
1991,1991-02-02,1991-02-18,16,1,190,119,0,124,0,0,0,0
1991,1991-02-19,1991-03-07,16,1,207,78,0,64,0,5,0,5
1991,1991-03-08,1991-03-25,17,1,225,28,9,28,0,0,0,0
1991,1991-03-26,1991-04-11,16,1,242,51,0,198,5,5,0,0
1991,1991-04-12,1991-04-29,17,1,260,110,5,428,9,37,0,0
1991,1991-04-30,1991-05-16,16,1,277,106,5,552,5,9,0,0
1991,1991-05-17,1991-06-02,16,1,294,289,37,3522,23,32,0,0
1991,1991-06-03,1991-06-20,17,1,312,340,97,5026,37,0,9,0
1991,1991-06-21,1991-07-07,16,1,329,322,41,2951,41,5,0,0
1991,1991-07-08,1991-07-25,17,1,347,46,9,400,5,0,0,0
1991,1991-07-26,1991-08-12,17,NA,365,55,9,538,5,0,0,0
