"year","open","close","period","next_open","cum_days","G_bul","T_qui","G_glu","N_pac","G_sci","N_inc","G_rubw","N_dut","G_tru"
1997,1997-12-01,1997-12-17,16,1,16,129,1202,566,1059,5,73,0,0,0
1997,1997-12-18,1998-01-03,16,1,33,64,649,396,1317,0,23,0,0,0
1998,1998-01-04,1998-01-21,17,1,51,41,23,419,953,0,60,0,0,0
1998,1998-01-22,1998-02-07,16,1,68,18,111,285,1644,5,46,0,0,5
1998,1998-02-08,1998-02-24,16,1,85,14,83,143,856,0,42,0,0,0
1998,1998-02-25,1998-03-14,17,1,103,0,18,152,875,5,69,0,0,0
1998,1998-03-15,1998-03-31,16,1,120,97,147,414,3338,0,193,0,0,0
1998,1998-04-01,1998-04-18,17,1,138,322,727,714,6810,14,552,0,0,0
1998,1998-04-19,1998-05-05,16,1,155,1717,2505,723,6718,5,369,0,0,0
1998,1998-05-06,1998-05-24,18,57,174,1542,3103,801,4480,0,488,0,9,0
1998,1998-07-20,1998-08-03,14,1,245,452,1053,755,537,11,32,0,0,0
1998,1998-08-04,1998-08-18,14,1,260,191,798,170,447,5,48,0,0,0
1998,1998-08-19,1998-09-02,14,1,275,447,1590,96,1441,32,32,0,0,0
1998,1998-09-03,1998-09-17,14,1,290,628,1665,101,1729,11,75,0,0,0
1998,1998-09-18,1998-10-02,14,1,305,2585,4128,48,7234,43,170,0,0,0
1998,1998-10-03,1998-10-17,14,1,320,1223,3489,32,1989,11,64,0,0,0
1998,1998-10-18,1998-11-01,14,1,335,1245,3117,16,1309,21,191,0,0,0
1998,1998-11-02,1998-11-16,14,1,350,543,3106,122,2011,5,107,0,0,0
1998,1998-11-17,1998-12-01,14,1,365,101,2011,271,3596,11,117,0,0,0
1998,1998-12-02,1998-12-16,14,1,380,355,4296,1036,3969,14,484,0,0,0
1998,1998-12-17,1998-12-31,14,1,395,1794,9581,649,4546,21,867,0,37,0
1999,1999-01-01,1999-01-15,14,1,410,484,1485,165,479,11,149,0,11,0
1999,1999-01-16,1999-01-30,14,1,425,596,729,170,474,11,143,5,0,0
1999,1999-01-31,1999-02-14,14,1,440,575,442,229,564,21,138,0,5,0
1999,1999-02-15,1999-03-01,14,1,455,117,192,21,250,0,53,0,5,0
1999,1999-03-02,1999-03-16,14,1,470,367,570,197,1437,11,218,0,11,0
1999,1999-03-17,1999-03-31,14,1,485,330,889,128,681,27,133,0,5,0
1999,1999-04-01,1999-04-15,14,1,500,836,687,176,1948,101,186,0,16,0
1999,1999-04-16,1999-04-30,14,1,515,649,357,144,2102,101,112,0,0,0
1999,1999-05-01,1999-05-15,14,4,530,756,1086,240,2417,160,181,0,16,0
1999,1999-05-19,1999-06-04,16,1,550,3002,3481,147,534,18,460,0,221,0
1999,1999-06-05,1999-06-21,16,1,567,1271,3370,184,184,0,166,0,129,0
1999,1999-06-22,1999-07-09,17,1,585,111,681,18,92,0,55,0,0,0
1999,1999-07-10,1999-07-26,16,1,602,111,645,18,571,37,55,0,18,0
1999,1999-07-27,1999-08-12,16,1,619,332,442,0,1344,18,18,0,0,0
1999,1999-08-13,1999-08-30,17,1,637,129,239,18,184,55,18,0,0,0
1999,1999-08-31,1999-09-16,16,1,654,184,350,55,1142,0,36,0,0,0
1999,1999-09-17,1999-10-04,17,1,672,295,976,0,645,0,37,0,0,0
1999,1999-10-05,1999-10-21,16,1,689,534,1271,55,2044,0,166,0,0,0
1999,1999-10-22,1999-11-07,16,1,706,332,1602,92,1989,37,129,0,0,0
1999,1999-11-08,1999-11-25,17,1,724,1216,4052,350,3499,0,148,0,0,0
1999,1999-11-26,1999-12-12,16,1,741,1216,1363,479,2339,0,165,0,0,0
1999,1999-12-13,1999-12-29,16,1,758,2173,479,313,2063,18,368,0,0,0
1999,1999-12-30,2000-01-16,17,1,776,1105,203,203,626,0,92,0,0,0
2000,2000-01-17,2000-02-02,16,1,793,516,74,129,332,0,0,0,0,0
2000,2000-02-03,2000-02-20,17,1,811,884,18,166,111,18,36,0,0,0
2000,2000-02-21,2000-03-09,17,1,829,147,18,37,92,0,0,0,0,0
2000,2000-03-10,2000-03-26,16,1,846,497,18,129,939,18,147,0,0,0
2000,2000-03-27,2000-04-13,17,1,864,958,405,129,5083,0,313,0,0,0
2000,2000-04-14,2000-04-30,16,1,881,1823,2173,258,9411,18,903,0,0,0
2000,2000-05-01,2000-05-17,16,88,898,2007,1068,332,2228,18,682,0,0,0
2000,2000-08-13,2000-08-29,16,1,1002,184,313,0,74,18,37,0,0,0
2000,2000-08-30,2000-09-15,16,1,1019,203,792,0,129,74,18,0,0,0
2000,2000-09-16,2000-10-02,16,2,1036,203,1473,18,166,74,36,0,0,0
2000,2000-10-04,2000-10-20,16,1,1054,902,2762,55,1620,74,36,0,37,0
2000,2000-10-21,2000-11-06,16,1,1071,663,3554,1031,2725,37,55,0,0,0
2000,2000-11-07,2000-11-24,17,1,1089,792,1804,3001,3056,18,110,0,0,0
2000,2000-11-25,2000-12-11,16,1,1106,1473,1399,2633,0,0,166,0,0,0
2000,2000-12-12,2000-12-29,17,1,1124,295,276,902,1049,0,37,0,0,0
2000,2000-12-30,2001-01-15,16,1,1141,258,203,829,571,18,55,0,0,0
2001,2001-01-16,2001-02-01,16,1,1158,239,0,921,423,18,36,0,0,0
2001,2001-02-02,2001-02-19,17,1,1176,18,0,147,74,0,0,0,0,0
2001,2001-02-20,2001-03-08,16,1,1193,74,0,184,74,0,0,0,0,0
2001,2001-03-09,2001-03-25,16,1,1210,18,0,92,166,0,0,0,0,0
2001,2001-03-26,2001-04-12,17,1,1228,295,18,295,1234,0,74,0,0,0
2001,2001-04-13,2001-04-29,16,1,1245,203,460,166,1068,0,203,0,0,0
2001,2001-04-30,2001-05-17,17,1,1263,1215,552,203,479,18,165,0,0,0
2001,2001-05-18,2001-06-03,16,1,1280,589,1675,74,221,18,37,0,0,0
2001,2001-06-04,2001-06-10,6,NA,1287,1143,869,274,594,0,137,0,0,0
