"year","open","close","period","next_open","cum_days","G_bul","T_qui","G_glu","N_pac","N_dut","G_sci","N_inc","G_rubw","G_tru"
1997,1997-12-01,1997-12-17,16,1,16,916,6013,239,516,28,14,189,0,0
1997,1997-12-18,1998-01-03,16,1,33,1565,5594,516,1427,0,5,69,0,0
1998,1998-01-04,1998-01-21,17,1,51,516,1137,198,640,0,18,46,0,0
1998,1998-01-22,1998-02-07,16,1,68,603,594,322,732,5,14,69,0,0
1998,1998-02-08,1998-02-24,16,1,85,212,157,134,281,0,0,19,0,0
1998,1998-02-25,1998-03-14,17,1,103,267,170,175,944,5,0,42,0,0
1998,1998-03-15,1998-03-31,16,1,120,147,226,226,668,5,0,60,0,0
1998,1998-04-01,1998-04-18,17,1,138,608,571,318,2141,5,64,83,0,0
1998,1998-04-19,1998-05-05,16,1,155,470,774,401,1621,0,60,152,0,0
1998,1998-05-06,1998-05-24,18,1,174,410,1842,115,1524,41,166,74,0,5
1998,1998-05-25,1998-06-09,15,41,190,216,3246,134,1119,0,189,97,0,5
1998,1998-07-20,1998-08-03,14,1,245,144,2585,133,606,122,133,878,11,0
1998,1998-08-04,1998-08-18,14,1,260,165,1521,69,1000,43,53,298,0,0
1998,1998-08-19,1998-09-02,14,1,275,202,723,5,553,96,21,128,0,0
1998,1998-09-03,1998-09-17,14,1,290,90,904,5,628,346,74,154,0,0
1998,1998-09-18,1998-10-02,14,1,305,106,1404,16,261,128,96,192,0,0
1998,1998-10-03,1998-10-17,14,1,320,181,553,16,479,43,160,165,32,0
1998,1998-10-18,1998-11-01,14,1,335,191,1207,16,1043,21,16,272,21,0
1998,1998-11-02,1998-11-16,14,1,350,372,1745,21,309,149,43,1963,37,0
1998,1998-11-17,1998-12-01,14,1,365,298,2011,74,410,16,11,1276,32,0
1998,1998-12-02,1998-12-16,14,1,380,677,3287,97,1206,0,23,290,18,0
1998,1998-12-17,1998-12-31,14,1,395,1794,9581,649,4546,37,21,867,0,0
1999,1999-01-01,1999-01-15,14,1,410,484,1485,165,479,11,11,149,0,0
1999,1999-01-16,1999-01-30,14,1,425,596,729,170,474,0,11,143,5,0
1999,1999-01-31,1999-02-14,14,1,440,575,442,229,564,5,21,138,0,0
1999,1999-02-15,1999-03-01,14,1,455,117,192,21,250,5,0,53,0,0
1999,1999-03-02,1999-03-16,14,1,470,367,570,197,1437,11,11,218,0,0
1999,1999-03-17,1999-03-31,14,1,485,330,889,128,681,5,27,133,0,0
1999,1999-04-01,1999-04-15,14,1,500,836,687,176,1948,16,101,186,0,0
1999,1999-04-16,1999-04-30,14,1,515,649,357,144,2102,0,101,112,0,0
1999,1999-05-01,1999-05-10,9,4,525,1136,1632,360,3632,24,240,272,0,0
1999,1999-05-14,1999-05-30,16,1,545,382,1892,124,1022,0,180,125,0,0
1999,1999-05-31,1999-06-16,16,1,562,55,1027,32,884,0,129,189,0,0
1999,1999-06-17,1999-07-04,17,1,580,97,1943,28,1234,14,193,207,0,0
1999,1999-07-05,1999-07-21,16,1,597,180,1160,23,1202,69,299,249,0,0
1999,1999-07-22,1999-08-07,16,1,614,124,944,5,1616,18,32,239,0,0
1999,1999-08-08,1999-08-25,17,1,632,212,985,5,746,0,32,253,0,0
1999,1999-08-26,1999-09-11,16,1,649,378,1547,23,1202,18,28,396,0,0
1999,1999-09-12,1999-09-29,17,1,667,124,626,0,364,51,37,124,23,0
1999,1999-09-30,1999-10-16,16,1,684,1027,1644,5,1179,23,115,143,18,0
1999,1999-10-17,1999-11-02,16,1,701,3716,3891,32,1432,9,51,212,9,0
1999,1999-11-03,1999-11-20,17,1,719,2661,4208,37,3347,5,37,668,18,5
1999,1999-11-21,1999-12-07,16,1,736,2090,2887,46,3693,23,23,589,5,0
1999,1999-12-08,1999-12-24,16,1,753,2224,2403,203,3812,9,51,810,5,0
1999,1999-12-25,2000-01-11,17,1,771,2915,898,239,2132,0,5,580,0,0
2000,2000-01-12,2000-01-28,16,1,788,2583,465,180,1340,0,14,382,0,0
2000,2000-01-29,2000-02-15,17,1,806,3287,414,180,1538,51,9,313,0,0
2000,2000-02-16,2000-03-04,17,1,824,1409,253,60,1096,46,14,180,0,0
2000,2000-03-05,2000-03-21,16,1,841,2155,866,184,4425,69,23,391,9,0
2000,2000-03-22,2000-04-08,17,1,859,2523,847,37,6851,0,92,571,0,0
2000,2000-04-09,2000-04-25,16,1,876,2265,1547,74,2928,129,129,424,0,0
2000,2000-04-26,2000-05-12,16,NA,893,4402,1731,166,7975,0,295,663,0,0
