"year","open","close","period","next_open","cum_days","N_pac","N_inc","T_qui","G_glu","G_bul","O_uni","G_sci"
1982,1982-09-23,1982-10-07,14,1,14,53,480,103,139,36,11,7
1982,1982-10-08,1982-10-22,14,1,29,25,149,53,121,11,86,4
1982,1982-10-23,1982-11-06,14,1,44,0,64,43,320,4,6,0
1982,1982-11-07,1982-11-21,14,1,59,0,441,100,872,0,11,0
1982,1982-11-22,1982-12-06,14,1,74,4,1550,210,1043,0,0,0
1982,1982-12-07,1982-12-21,14,1,89,0,640,68,491,0,0,0
1982,1982-12-22,1983-01-05,14,1,104,4,1020,36,388,0,0,0
1983,1983-01-06,1983-01-20,14,1,119,28,1013,82,203,0,0,0
1983,1983-01-21,1983-02-04,14,1,134,7,480,28,96,0,0,0
1983,1983-02-05,1983-02-19,14,1,149,7,96,14,36,0,0,0
1983,1983-02-20,1983-03-06,14,1,164,28,78,7,21,0,0,0
1983,1983-03-07,1983-03-17,10,10,175,44,48,15,14,0,0,0
1983,1983-03-27,1983-04-11,15,1,200,343,177,1056,113,36,44,0
1983,1983-04-12,1983-04-27,15,1,216,700,83,1112,150,117,0,3
1983,1983-04-28,1983-05-13,15,1,232,720,277,3832,203,180,0,23
1983,1983-05-14,1983-05-29,15,1,248,2217,147,3726,356,223,0,3
1983,1983-05-30,1983-06-14,15,1,264,537,257,2298,246,227,0,23
1983,1983-06-15,1983-06-30,15,1,280,63,467,1415,296,263,0,33
1983,1983-07-01,1983-07-16,15,1,296,13,47,803,33,63,0,0
1983,1983-07-17,1983-08-01,15,1,312,333,1170,1725,186,160,10,10
1983,1983-08-02,1983-08-17,15,1,328,60,266,749,60,100,130,3
1983,1983-08-18,1983-09-02,15,1,344,23,73,193,53,20,113,7
1983,1983-09-03,1983-09-18,15,1,360,17,70,150,17,3,73,3
1983,1983-09-19,1983-10-04,15,10,376,3,57,130,7,3,142,0
1983,1983-10-14,1983-10-29,15,1,401,50,1848,5182,191,63,106,1
1983,1983-10-30,1983-11-14,15,1,417,200,635,8958,389,9,336,0
1983,1983-11-15,1983-11-30,15,1,433,15,66,2192,81,13,28,0
1983,1983-12-01,1983-12-16,15,1,449,39,222,3157,612,28,29,1
1983,1983-12-17,1984-01-01,15,1,465,3,29,150,104,5,4,1
1984,1984-01-02,1984-01-17,15,1,481,0,2,13,3,0,1,0
1984,1984-01-18,1984-02-02,15,1,497,0,0,8,10,1,2,0
1984,1984-02-03,1984-02-18,15,1,513,2,3,12,3,0,2,0
1984,1984-02-19,1984-03-05,15,1,529,0,0,9,1,1,0,0
