"year","open","close","period","next_open","cum_days","O_uni","G_rubw","G_cal","G_bul","G_fal","T_qui","N_pac","N_inc","N_dut","G_inf","G_sci","G_glu","G_tru"
1997,1997-09-22,1997-09-30,8,1,8,2.352941176,0,0,115.2941176,7.058823529,7.058823529,0,4.705882353,0,11.76470588,0,9.411764706,9.411764706
1997,1997-10-01,1997-10-08,7,1,16,4.705882353,0,0,489.4117647,16.47058824,4.705882353,2.352941176,16.47058824,0,101.1764706,0,32.94117647,68.23529412
1997,1997-10-09,1997-10-17,8,1,25,0,0,0,284.7058824,7.058823529,7.058823529,4.705882353,98.82352941,2.352941176,221.1764706,4.705882353,32.94117647,44.70588235
1997,1997-10-18,1997-10-25,7,1,33,2.352941176,2.352941176,0,305.8823529,0,44.70588235,14.11764706,197.6470588,4.705882353,251.7647059,7.058823529,72.94117647,44.70588235
1997,1997-10-26,1997-11-03,8,1,42,0,0,0,75.29411765,0,25.88235294,2.352941176,112.9411765,0,112.9411765,16.47058824,42.35294118,40
1997,1997-11-04,1997-11-11,7,1,50,0,0,2.352941176,164.7058824,4.705882353,65.88235294,11.76470588,169.4117647,2.352941176,190.5882353,30.58823529,98.82352941,72.94117647
1997,1997-11-12,1997-11-20,8,1,59,0,0,0,160,0,91.76470588,4.705882353,75.29411765,0,112.9411765,14.11764706,40,75.29411765
1997,1997-11-21,1997-11-28,7,1,67,0,0,0,35.29411765,0,75.29411765,2.352941176,37.64705882,0,14.11764706,30.58823529,21.17647059,28.23529412
1997,1997-11-29,1997-12-07,8,1,76,0,0,0,77.64705882,0,49.41176471,0,23.52941176,0,72.94117647,35.29411765,16.47058824,75.29411765
1997,1997-12-08,1997-12-15,7,1,84,0,0,0,68.23529412,0,160,9.411764706,54.11764706,0,28.23529412,51.76470588,37.64705882,40
1997,1997-12-16,1997-12-24,8,1,93,7.058823529,0,2.352941176,112.9411765,0,315.2941176,14.11764706,91.76470588,0,49.41176471,40,47.05882353,56.47058824
1997,1997-12-25,1998-01-01,7,1,101,56.47058824,0,0,197.6470588,0,425.8823529,61.17647059,110.5882353,0,94.11764706,21.17647059,61.17647059,72.94117647
1998,1998-01-02,1998-01-06,4,1,106,9.411764706,0,0,127.0588235,0,202.3529412,98.82352941,150.5882353,4.705882353,103.5294118,9.411764706,32.94117647,98.82352941
1998,1998-01-07,1998-01-10,3,1,110,4.705882353,0,4.705882353,249.4117647,0,235.2941176,320,480,23.52941176,249.4117647,61.17647059,150.5882353,127.0588236
1998,1998-01-11,1998-01-14,3,1,114,0,0,0,437.6470588,0,324.7058824,517.6470588,1181.176471,51.76470588,301.1764706,61.17647059,244.7058824,127.0588235
1998,1998-01-15,1998-01-18,3,1,118,9.411764706,0,9.411764706,235.2941176,0,202.3529412,432.9411765,1016.470588,28.23529412,169.4117647,18.82352941,192.9411765,70.58823529
1998,1998-01-19,1998-01-23,4,1,123,18.82352941,0,0,169.4117647,0,174.1176471,329.4117647,635.2941176,28.23529412,75.29411765,42.35294118,183.5294118,70.58823529
1998,1998-01-24,1998-01-27,3,1,127,18.82352941,0,0,42.35294118,0,89.41176471,202.3529412,277.6470588,0,56.47058824,18.82352941,94.11764706,23.52941176
1998,1998-01-28,1998-02-04,7,1,135,18.82352941,0,0,65.88235294,0,138.8235294,167.0588235,367.0588235,14.11764706,63.52941176,23.52941176,120,63.52941176
1998,1998-02-05,1998-02-13,8,31,144,2.352941176,0,0,145.8823529,0,174.1176471,178.8235294,865.8823529,9.411764706,131.7647059,14.11764706,65.88235294,211.7647059
