"year","open","close","period","next_open","cum_days","G_sip","G_rubw","G_rubp","G_sac"
1993,1993-03-26,1993-04-19,24,1,24,6.4,16,0.4,5.2
1993,1993-04-20,1993-05-14,24,1,49,11.2,88.8,2.4,28.8
1993,1993-05-15,1993-06-08,24,1,74,7.2,87.6,2,33.6
1993,1993-06-09,1993-07-03,24,1,99,8.8,166.8,2.4,47.2
1993,1993-07-04,1993-07-28,24,1,124,38.4,101.6,1.6,28.4
1993,1993-07-29,1993-08-22,24,1,149,24,59.2,1.2,24.8
1993,1993-08-23,1993-09-16,24,1,174,10,19.6,0,0.8
1993,1993-09-17,1993-10-11,24,1,199,1.6,7.6,0,0.4
1993,1993-10-12,1993-11-05,24,1,224,63.6,160,3.2,49.2
1993,1993-11-06,1993-11-30,24,1,249,35.6,148,2.4,36
1993,1993-12-01,1993-12-25,24,1,274,27.2,58.8,0.4,10.4
1993,1993-12-26,1994-01-19,24,1,299,20,44.4,0.4,4.8
1994,1994-01-20,1994-02-13,24,1,324,6.4,13.6,0.4,1.6
1994,1994-02-14,1994-03-10,24,1,349,1.6,5.6,0,1.2
1994,1994-03-11,1994-04-04,24,1,374,3.2,5.6,0.4,2
1994,1994-04-05,1994-04-29,24,1,399,0.8,2,0,0.8
1994,1994-04-30,1994-05-24,24,1,424,2.8,5.2,1.2,3.2
1994,1994-05-25,1994-06-18,24,1,449,1.6,4,0.8,2
1994,1994-06-19,1994-07-13,24,1,474,0.4,5.2,0.4,4.4
1994,1994-07-14,1994-08-07,24,NA,499,0.8,1.6,0,0.8
