"year","open","close","period","next_open","cum_days","G_bul","G_sip","G_rubw","G_rubp","G_sac"
1997,1997-02-27,1997-03-18,19,1,19,0.5,2.4,1,2.4,21
1997,1997-03-19,1997-04-10,22,1,42,0,9.3,8.4,4.4,15.6
1997,1997-04-11,1997-05-02,21,1,64,0.4,7.1,12,6.2,25.3
1997,1997-05-03,1997-05-25,22,1,87,0.4,1.3,0,0.4,2.7
1997,1997-05-26,1997-06-16,21,1,109,0,0,0,0.4,2.7
1997,1997-06-17,1997-07-09,22,1,132,0,0.4,1.3,1.3,3.6
1997,1997-07-10,1997-07-31,21,1,154,0,0.4,0.4,0,0.4
1997,1997-08-01,1997-08-23,22,1,177,0,0.9,0.9,0,0.4
1997,1997-08-24,1997-09-14,21,1,199,0,0.9,0.9,0,1.8
1997,1997-09-15,1997-10-07,22,1,222,0,0.4,0.4,0,0
1997,1997-10-08,1997-10-29,21,1,244,0,0,0,0,0.4
1997,1997-10-30,1997-11-21,22,1,267,0,4.9,3.1,0.4,1.3
1997,1997-11-22,1997-12-13,21,1,289,0,1.8,0.4,0.4,0.9
1997,1997-12-14,1998-01-05,22,1,312,0,0,0,0,0
1998,1998-01-06,1998-01-27,21,1,334,0,0,0,0,0.4
1998,1998-01-28,1998-02-19,22,1,357,0,1.3,0.4,0,0
1998,1998-02-20,1998-03-13,21,1,379,0,0.4,0,0,0
1998,1998-03-14,1998-04-05,22,1,402,0,3.6,0,1.8,1.3
1998,1998-04-06,1998-04-27,21,1,424,0.4,5.3,2.2,2.7,4.4
1998,1998-04-28,1998-05-18,20,4,445,0,1.5,0.5,0.5,1
1998,1998-05-22,1998-06-17,26,1,475,0,38.2,156,39.3,77.1
1998,1998-06-18,1998-07-15,27,1,503,0,1.5,0,0.4,0.4
1998,1998-07-16,1998-08-11,26,1,530,0,4,45.8,10.5,35.3
1998,1998-08-12,1998-09-08,27,1,558,0.4,1.1,2.9,0.4,9.1
1998,1998-09-09,1998-10-05,26,1,585,0,9.5,19.6,1.8,19.6
1998,1998-10-06,1998-11-02,27,1,613,1.1,0.7,0.7,1.5,1.8
1998,1998-11-03,1998-11-29,26,29,640,2.2,8,21.8,1.5,24.7
1998,1998-12-28,1999-01-23,26,1,695,0.4,2.2,0.7,0,0.4
1999,1999-01-24,1999-02-20,27,1,723,0.4,1.5,0.4,0,4.7
1999,1999-02-21,1999-03-19,26,1,750,0,3.3,1.5,0,2.9
1999,1999-03-20,1999-04-16,27,1,778,0,0.7,10,0.7,0
1999,1999-04-17,1999-05-13,26,1,805,0,0.7,0,0,0
1999,1999-05-14,1999-06-10,27,1,833,0.4,6.5,5.1,3.3,9.8
1999,1999-06-11,1999-07-07,26,1,860,0,0.7,1.1,0,0.7
1999,1999-07-08,1999-08-04,27,1,888,0,0,1.1,0,7.6
1999,1999-08-05,1999-08-31,26,1,915,0.4,1.5,0.7,0,8.4
1999,1999-09-01,1999-09-28,27,28,943,0,0.4,0.4,0,2.5
1999,1999-10-26,1999-11-25,30,NA,1001,0,0,0.3,0,1.3
