"year","open","close","period","next_open","cum_days","G_sac","G_rubw","G_ten","G_rus","G_men","G_tum","G_hir","G_the","T_par","G_ung","G_bul","G_cal","T_qui","N_dut","G_sip","G_glu","G_hex","P_obl","O_uni","G_con"
1986,1986-05-10,1986-05-23,13,0,13,0,256,148,0,0,0,0,0,0,0,49,10,0,32,0,59,0,0,0,0
1986,1986-05-23,1986-06-05,13,0,26,10,335,226,0,0,0,0,0,0,0,30,0,0,0,0,89,0,0,0,0
1986,1986-06-05,1986-06-18,13,0,39,20,611,276,0,30,0,0,10,0,0,39,0,0,30,0,226,0,0,0,0
1986,1986-06-18,1986-07-01,13,0,52,20,137,98,0,0,0,0,10,0,0,30,0,0,20,0,39,0,0,0,0
1986,1986-07-01,1986-07-14,13,0,65,30,896,69,0,50,0,0,10,0,0,227,0,0,552,20,158,0,40,0,0
1986,1986-07-14,1986-07-27,13,0,78,69,630,167,0,59,0,0,0,0,10,1841,0,0,1142,30,1112,0,168,0,0
1986,1986-07-27,1986-08-09,13,0,91,59,798,207,276,936,49,0,0,0,138,1881,0,39,1339,79,3209,207,148,0,0
1986,1986-08-09,1986-08-22,13,0,104,20,403,30,59,69,59,0,0,30,39,6252,20,30,953,59,3013,10,39,0,0
1986,1986-08-22,1986-09-04,13,0,117,10,138,0,46,30,20,0,0,0,30,332,0,20,158,10,699,0,30,0,0
1986,1986-09-04,1986-09-17,13,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,1986-09-17,1986-09-30,13,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,1986-09-30,1986-10-13,13,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,1986-10-13,1986-11-06,24,14,180,32,128,69,0,123,21,0,0,21,43,518,0,0,112,10,437,0,0,0,0
1986,1986-11-20,1986-12-02,12,0,206,60,443,30,0,100,80,0,0,0,0,81,30,0,50,10,192,0,30,0,0
1986,1986-12-02,1986-12-15,13,0,219,160,1868,10,0,20,40,0,0,0,0,101,0,0,130,40,192,0,70,10,0
1986,1986-12-15,1986-12-27,12,0,231,70,534,61,0,130,0,0,0,0,40,101,10,0,10,10,213,0,0,10,0
1986,1986-12-27,1987-01-09,13,0,244,30,332,111,0,180,10,0,0,0,30,415,0,0,0,10,304,0,10,0,0
1987,1987-01-09,1987-01-22,13,0,257,60,833,111,0,579,0,0,0,0,0,829,0,0,20,10,730,0,10,0,0
1987,1987-01-22,1987-02-03,12,0,269,40,752,111,0,20,0,0,0,0,0,648,0,0,0,20,841,0,0,0,0
1987,1987-02-03,1987-02-16,13,0,282,0,91,20,0,10,0,0,0,0,0,122,0,0,0,0,213,0,0,0,0
1987,1987-02-16,1987-02-28,12,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1987-02-28,1987-03-13,13,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1987-03-13,1987-03-26,13,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1987-03-26,1987-04-07,12,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1987-04-07,1987-05-03,26,9,358,0,28,0,0,0,5,0,0,0,14,47,0,0,19,0,42,0,0,0,0
1987,1987-05-12,1987-05-24,12,0,379,0,20,0,0,0,0,0,10,0,0,30,0,0,0,0,20,10,0,0,0
1987,1987-05-24,1987-06-06,13,0,392,0,40,0,0,20,20,0,60,0,0,30,0,0,0,0,30,30,0,0,0
1987,1987-06-06,1987-06-18,12,0,404,0,70,30,0,0,0,0,0,0,0,0,0,0,0,10,30,10,0,0,0
1987,1987-06-18,1987-07-01,13,0,417,110,492,20,0,161,0,0,10,0,10,100,0,0,372,60,60,10,60,40,0
1987,1987-07-01,1987-07-13,12,0,429,20,362,80,0,10,0,0,50,0,10,322,0,0,151,30,281,0,20,0,10
1987,1987-07-13,1987-07-26,13,0,442,50,493,141,0,211,10,0,50,0,20,624,0,0,381,30,201,20,20,0,0
1987,1987-07-26,1987-08-07,12,0,454,130,473,30,0,40,0,10,50,0,20,1820,0,0,543,171,1016,10,130,0,0
1987,1987-08-07,1987-08-20,13,0,467,70,715,60,0,10,30,0,0,0,20,5211,10,0,342,70,1951,10,110,10,0
1987,1987-08-20,1987-09-01,12,0,479,20,472,141,0,131,10,0,0,0,0,4496,0,0,241,20,352,0,10,10,0
1987,1987-09-01,1987-09-14,13,0,492,60,906,0,0,20,0,0,0,0,0,6780,0,0,342,0,1951,10,40,0,0
1987,1987-09-14,1987-09-26,12,0,504,30,282,10,0,40,10,0,0,0,20,5256,10,0,121,20,1086,50,0,0,0
1987,1987-09-26,1987-10-09,13,0,517,40,252,0,0,0,0,0,0,0,0,3410,0,0,50,10,362,10,0,0,0
1987,1987-10-09,1987-10-21,12,NA,529,30,181,0,0,0,0,0,0,0,0,1841,0,0,80,0,292,0,0,0,0
