"year","open","close","period","next_open","cum_days","G_rubw","G_glu","G_sac","G_ten","G_sip","G_con","G_sci","O_uni","G_tru","G_inf","N_inc"
1997,1997-12-07,1997-12-19,12,1,12,32,2.46,14.76,12.3,14.76,4.92,4.92,4.92,0,2.46,2.46
1997,1997-12-20,1998-01-01,12,1,25,29.53,49.23,54.15,59.07,7.38,7.38,12.3,2.46,2.46,2.46,4.92
1998,1998-01-02,1998-01-14,12,1,38,29.53,34.46,68.91,36.92,14.76,4.92,7.38,2.46,2.46,4.92,4.92
1998,1998-01-15,1998-01-27,12,1,51,19.69,160,9.84,75.84,24.61,24.61,2.46,7.38,4.92,2.46,2.46
1998,1998-01-28,1998-02-09,12,1,64,9.84,86.15,14.76,30.61,4.92,9.84,4.92,2.46,9.84,14.76,2.46
1998,1998-02-10,1998-02-22,12,1,77,4.92,61.53,27.07,24.61,4.92,2.46,9.84,2.46,7.38,14.76,0
1998,1998-02-23,1998-03-07,12,1,90,9.84,14.76,9.84,12.3,2.46,2.46,9.84,0,4.92,4.92,0
1998,1998-03-08,1998-03-20,12,1,103,12.3,12.3,24.61,4.92,4.92,4.92,14.76,7.38,4.92,0,0
1998,1998-03-21,1998-04-02,12,1,116,9.84,12.3,9.84,14.76,27.07,12.3,12.3,2.46,0,0,0
1998,1998-04-03,1998-04-15,12,1,129,4.92,12.3,17.22,14.76,7.38,12.3,17.23,0,0,0,0
1998,1998-04-16,1998-04-28,12,1,142,29.53,49.23,29.53,12.3,2.46,12.3,0,0,4.92,0,0
1998,1998-04-29,1998-05-11,12,1,155,29.53,14.76,22.15,0,2.46,0,0,4.92,12.3,2.46,0
1998,1998-05-12,1998-05-24,12,1,168,34.46,24.61,24.61,24.61,2.46,0,0,4.92,0,0,0
1998,1998-05-25,1998-06-06,12,14,181,44.3,49.23,95.99,14.76,14.76,0,0,7.38,0,0,0
1998,1998-06-20,1998-07-02,12,1,207,135.38,19.69,142.76,9.84,24.61,49.23,0,9.84,0,0,0
1998,1998-07-03,1998-07-15,12,1,220,46.76,4.23,93.52,12.3,9.84,14.76,0,0,0,0,0
1998,1998-07-16,1998-07-28,12,1,233,61.53,61.53,135.38,4.92,14.76,12.3,0,4.92,0,0,0
1998,1998-07-29,1998-08-10,12,41,246,4.92,9.84,9.84,0,0,0,0,0,0,0,0
1998,1998-09-20,1998-10-07,17,1,304,53.33,7.11,30.22,1.78,8.89,1.78,1.78,1.78,3.56,0,2.46
1998,1998-10-08,1998-10-25,17,1,322,76.44,64,21.33,14.22,30.22,1.78,19.56,7.11,1.78,0,4.92
1998,1998-10-26,1998-11-12,17,1,340,117.33,35.56,76.45,8.89,24.89,5.33,14.22,5.33,1.78,0,4.92
1998,1998-11-13,1998-11-30,17,1,358,58.67,35.56,53.33,0,8.89,1.78,7.11,1.78,3.56,0,2.46
1998,1998-12-01,1998-12-18,17,1,376,115.56,17.78,60.44,0,3.56,0,1.78,0,0,0,2.46
1998,1998-12-19,1999-01-05,17,1,394,160,151.11,55.11,17.78,28.44,16,14.22,1.78,7.11,0,2.46
1999,1999-01-06,1999-01-23,17,1,412,53.33,117.33,16,8.89,8.89,7.11,8.89,0,0,4.92,0
1999,1999-01-24,1999-02-10,17,1,430,16,39.11,8.89,0,5.33,1.78,0,1.78,1.78,2.46,0
1999,1999-02-11,1999-02-28,17,1,448,44.44,46.22,14.22,3.56,26.67,3.56,7.11,5.33,1.78,2.46,0
1999,1999-03-01,1999-03-18,17,1,466,39.11,71.11,51.56,3.56,26.67,3.56,3.56,1.78,1.78,2.46,0
1999,1999-03-19,1999-04-05,17,1,484,3.56,7.11,3.56,5.33,0,0,0,1.78,3.56,0,0
1999,1999-04-06,1999-04-23,17,1,502,21.33,26.67,17.78,5.33,8.89,1.78,1.78,1.78,0,0,0
1999,1999-04-24,1999-05-11,17,1,520,280.89,101.33,120.89,14.22,33.78,0,14.22,8.89,0,0,0
1999,1999-05-12,1999-05-29,17,1,538,35.56,23.11,39.11,3.56,10.67,0,1.78,5.33,1.78,0,0
1999,1999-05-30,1999-06-16,17,1,556,1.78,0,19.55,1.78,3.56,0,1.78,5.33,0,0,0
1999,1999-06-17,1999-07-04,17,1,574,80,26.67,94.22,1.78,28.44,16,10.67,1.78,1.78,0,0
1999,1999-07-05,1999-07-22,17,1,592,366.22,88.89,71.12,8.89,35.56,35.56,44.44,1.78,0,0,0
1999,1999-07-23,1999-08-09,17,1,610,17.78,0,179.56,3.56,0,1.78,0,3.56,0,0,0
1999,1999-08-10,1999-08-11,1,NA,612,192,0,64,0,0,160,0,32,0,0,0
