"year","open","close","period","next_open","cum_days","T_qui","N_inc","G_cal","N_dut","G_bul","G_the","G_sac","G_glu","G_rubw","G_inf","O_uni","G_sip","G_sci","G_uvu"
1997,1997-11-19,1997-12-01,12,1,12,250.76,91.06,61.53,14.76,24.61,24.61,12.3,24.61,32,2.46,0,0,2.46,24.61
1997,1997-12-02,1997-12-14,12,1,25,86.15,162.46,128,2.46,56.61,12.31,140.3,88.61,88.61,2.46,24.61,7.38,27.07,34.46
1997,1997-12-15,1997-12-27,12,1,38,39.38,214.14,54.15,14.76,59.07,22.15,54.15,61.38,68.92,2.46,4.92,0,36.92,34.46
1997,1997-12-28,1998-01-09,12,1,51,154.61,155.07,49.23,0,64,24.61,36.92,24.61,115.69,2.46,0,2.46,12.3,2.46
1998,1998-01-10,1998-01-22,12,1,64,125.53,135.37,36.92,27.07,157.53,14.76,49.23,78.76,9.84,14.76,14.76,0,12.3,17.23
1998,1998-01-23,1998-02-04,12,1,77,135.38,292.92,64,0,14.76,4.92,29.53,39.38,4.92,12.3,0,0,0,0
1998,1998-02-05,1998-02-17,12,1,90,14.76,199.37,39.38,2.46,12.3,7.38,19.69,19.69,0,0,7.38,2.46,12.3,9.84
1998,1998-02-18,1998-03-02,12,1,103,24.61,147.69,64,19.69,51.69,7.38,4.92,14.76,0,0,9.84,0,17.23,2.46
1998,1998-03-03,1998-03-15,12,1,116,54.15,201.83,54.15,0,4.92,24.61,12.3,12.3,0,2.46,2.46,0,9.84,7.38
1998,1998-03-16,1998-03-28,12,1,129,39.38,287.99,39.38,0,9.84,4.92,12.3,4.92,0,0,2.46,0,36.92,4.92
1998,1998-03-29,1998-04-10,12,1,142,61.53,369.22,12.3,0,14.76,160,12.3,4.92,0,19.69,2.46,0,29.53,0
1998,1998-04-11,1998-04-23,12,1,155,250.69,430.76,83.69,9.84,7.38,135.38,19.69,4.92,0,27.07,0,0,27.07,0
1998,1998-04-24,1998-05-06,12,1,168,881.53,484.91,115.69,17.23,34.46,61.53,41.84,9.84,0,24.61,2.46,0,86.15,0
1998,1998-05-07,1998-05-19,12,1,181,1315.38,164.91,88.61,34.46,32,34.46,9.84,39.38,0,2.46,0,0,7.38,0
1998,1998-05-20,1998-06-01,12,1,194,2264.61,137.84,288,147.69,17.23,14.76,9.84,4.92,0,7.38,0,0,2.46,0
1998,1998-06-02,1998-06-14,12,1,207,2043.07,189.53,536.61,324.92,24.61,9.84,19.69,4.92,0,0,0,0,2.46,0
1998,1998-06-15,1998-06-27,12,1,220,1526.15,551.38,233.84,1292.3,46.76,12.3,34.46,12.3,4.92,0,7.38,0,7.38,0
1998,1998-06-28,1998-07-10,12,1,233,1393.84,996.92,196.92,113.23,39.38,14.76,44.3,19.69,0,0,0,0,12.3,0
1998,1998-07-11,1998-07-23,12,1,246,541.53,497.22,199.38,39.38,41.84,24.61,29.53,7.38,2.46,0,4.92,4.92,0,0
1998,1998-07-24,1998-08-05,12,22,259,467.69,231.37,128,64,4.92,0,0,0,0,0,0,0,0,0
1998,1998-08-27,1998-09-01,5,1,286,746.67,133.33,21.33,160,21.33,170.67,16,10.67,10.67,0,0,0,0,0
1998,1998-09-02,1998-09-19,17,1,304,444.44,120.89,88.89,243.56,74.67,74.67,49.78,0,58.67,0,0,3.56,8.89,8.89
