"year","open","close","period","next_open","cum_days","N_pac","N_dut","G_glu","G_rubw","G_inf","G_sci","G_bul","G_tru","G_ten","G_cal","G_sip","G_the","T_qui","O_uni","G_con","P_obl","G_sac"
1999,1999-08-19,1999-09-03,15,1,15,64,3.2,9.6,64,0,0,0,19.2,25.6,6.4,32,0,0,0,9.6,0,41.6
1999,1999-09-04,1999-09-23,19,1,35,3.2,0,0,96,0,1.6,0,12.8,24,0,9.6,3.2,0,0,0,0,59.2
1999,1999-09-24,1999-10-13,19,1,55,3.2,0,8,64,0,0,0,1.6,16,0,3.2,0,0,0,0,1.6,17.6
1999,1999-10-14,1999-11-02,19,1,75,6.4,12.8,0,30.4,0,0,0,0,8,0,4.8,4.8,0,0,0,8,33.6
1999,1999-11-03,1999-11-22,19,1,95,12.8,8,0,43.2,54.4,3.2,0,3.2,8,8,11.2,3.2,0,1.6,0,32,32
1999,1999-11-23,1999-12-12,19,1,115,19.2,14.4,328,121.6,272,3.2,80,57.6,8,24,70.4,8,16,9.6,3.2,32,70.4
1999,1999-12-13,2000-01-01,19,1,135,19.2,0,107.2,4.8,180.8,0,64,273.6,1.6,168,9.6,0,3.2,0,8,3.2,35.2
2000,2000-01-02,2000-01-21,19,1,155,14.4,0,16,8,48,1.6,49.6,30.4,3.2,16,0,3.2,0,3.2,0,1.6,0
2000,2000-01-22,2000-02-10,19,1,175,16,0,8,0,76.8,0,12.8,44.8,0,104.4,4.8,8,8,1.6,0,19.2,0
2000,2000-02-11,2000-03-01,19,1,195,86.4,0,24,6.4,54.4,0,16,11.2,0,8,6.4,3.2,32,1.6,0,0,0
2000,2000-03-02,2000-03-21,19,1,215,46.4,3.2,8,3.2,6.4,0,12.8,1.6,3.2,3.2,1.6,3.2,8,1.6,3.2,0,0
2000,2000-03-22,2000-04-10,19,1,235,147.2,3.2,16,14.4,80,0,19.2,14.4,8,3.2,0,11.2,8,0,0,0,3.2
2000,2000-04-11,2000-04-30,19,1,255,280,6.4,16,0,60.8,8,20.8,41.6,0,8,0,24,88,0,0,9.6,0
2000,2000-05-01,2000-05-20,19,1,275,304,16,32,3.2,17.6,3.2,16,25.6,0,8,4.8,16,304,19.2,0,0,0
2000,2000-05-21,2000-06-09,19,1,295,272,120,16,25.6,11.2,3.2,84.8,68.8,0,0,9.6,30.4,96,20.8,0,0,0
2000,2000-06-10,2000-06-29,19,1,315,112,579.2,0,27.2,11.2,3.2,49.6,9.6,4.8,9.6,6.4,30.4,8,20.8,9.6,8,25.6
2000,2000-06-30,2000-07-19,19,1,335,20.8,115.2,0,24,8,0,27.2,8,3.2,0,0,4.8,22.4,4.8,0,3.2,16
2000,2000-07-20,2000-08-08,19,1,355,11.2,12.8,0,12.8,0,0,0,0,3.2,0,17.6,1.6,0,6.4,1.2,1.6,0
2000,2000-08-09,2000-08-28,19,NA,375,28.8,25.6,0,46.4,0,3.2,1.6,17.6,0,0,35.2,0,3.2,0,3.2,8,14.4
