"year","open","close","period","next_open","cum_days","G_bul","G_sac","N_inc"
1989,1989-03-18,1989-04-04,17,1,17,99.6,56.9,56.9
1989,1989-04-05,1989-04-22,17,1,35,35.6,21.3,14.2
1989,1989-04-23,1989-05-10,17,1,53,35.6,35.6,376.9
1989,1989-05-11,1989-05-28,17,1,71,56.9,56.9,199.1
1989,1989-05-29,1989-06-15,17,1,89,853.3,21.3,426.7
1989,1989-06-16,1989-07-03,17,1,107,177.8,21.3,426.7
1989,1989-07-04,1989-07-21,17,1,125,433.8,177.8,184.9
1989,1989-07-22,1989-08-08,17,229,143,16,12.4,12.4
1990,1990-03-25,1990-04-12,18,1,390,0,0,0
1990,1990-04-13,1990-05-01,18,1,409,5.1,3.4,139.8
1990,1990-05-02,1990-05-20,18,1,428,90.9,5.1,170.1
1990,1990-05-21,1990-06-08,18,1,447,168.4,20.2,390.7
1990,1990-06-09,1990-06-27,18,1,466,70.7,6.7,97.7
1990,1990-06-28,1990-07-16,18,1,485,11.8,4.2,34.9
1990,1990-07-17,1990-08-04,18,1,504,4.2,2.5,20.6
1990,1990-08-05,1990-08-23,18,1,523,100.2,13.5,187.4
1990,1990-08-24,1990-09-11,18,1,542,72.4,6.7,212.2
1990,1990-09-12,1990-09-30,18,1,561,666.9,60.6,3624.4
1990,1990-10-01,1990-10-19,18,1,580,970.1,20.2,2512.8
1990,1990-10-20,1990-11-07,18,1,599,512,20.2,1293.5
1990,1990-11-08,1990-11-26,18,1,618,357.1,13.5,788.2
1990,1990-11-27,1990-12-15,18,1,637,124.6,6.7,449.7
1990,1990-12-16,1991-01-03,18,1,656,50.5,0,160
1991,1991-01-04,1991-01-22,18,1,675,17.2,3,73.4
1991,1991-01-23,1991-02-10,18,1,694,16.4,2.5,80
1991,1991-02-11,1991-03-01,18,1,713,15.2,2.1,58.5
1991,1991-03-02,1991-03-20,18,1,732,9.3,0.8,45.1
1991,1991-03-21,1991-04-08,18,NA,751,25.3,2.5,207.2
